# packages in environment at /home/sifapsc/miniconda3/envs/dados_nc:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                 conda_forge    conda-forge
_openmp_mutex             4.5                       2_gnu    conda-forge
affine                    2.4.0                    pypi_0    pypi
attrs                     23.1.0                   pypi_0    pypi
beautifulsoup4            4.12.2                   pypi_0    pypi
blosc                     1.21.4               h0f2a231_0    conda-forge
boost-cpp                 1.78.0               h6582d0a_3    conda-forge
boto3                     1.29.2             pyhd8ed1ab_0    conda-forge
botocore                  1.32.2             pyhd8ed1ab_0    conda-forge
bottleneck                1.3.7                    pypi_0    pypi
brotli                    1.0.9                h166bdaf_9    conda-forge
brotli-bin                1.0.9                h166bdaf_9    conda-forge
brotli-python             1.0.9            py39h5a03fae_9    conda-forge
bzip2                     1.0.8                h7f98852_4    conda-forge
c-ares                    1.19.1               hd590300_0    conda-forge
ca-certificates           2024.12.31           h06a4308_0  
cairo                     1.16.0            hbbf8b49_1016    conda-forge
cartopy                   0.21.1           py39h4bd5d67_1    conda-forge
cdsapi                    0.6.1                    pypi_0    pypi
certifi                   2023.5.7                 pypi_0    pypi
cfitsio                   4.2.0                hd9d235c_0    conda-forge
cftime                    1.6.2                    pypi_0    pypi
charset-normalizer        3.1.0              pyhd8ed1ab_0    conda-forge
click                     8.1.3                    pypi_0    pypi
click-plugins             1.1.1                    pypi_0    pypi
cligj                     0.7.2                    pypi_0    pypi
climate-indices           1.0.10                   pypi_0    pypi
cloudpickle               2.2.1                    pypi_0    pypi
cmocean                   3.0.3                    pypi_0    pypi
contourpy                 1.1.0            py39h7633fee_0    conda-forge
curl                      8.1.2                h409715c_0    conda-forge
cycler                    0.11.0             pyhd8ed1ab_0    conda-forge
dask                      2023.6.1                 pypi_0    pypi
esmtools                  1.1.3                    pypi_0    pypi
expat                     2.5.0                hcb278e6_1    conda-forge
fiona                     1.9.4.post1              pypi_0    pypi
font-ttf-dejavu-sans-mono 2.37                 hab24e00_0    conda-forge
font-ttf-inconsolata      3.000                h77eed37_0    conda-forge
font-ttf-source-code-pro  2.038                h77eed37_0    conda-forge
font-ttf-ubuntu           0.83                 hab24e00_0    conda-forge
fontconfig                2.14.2               h14ed4e7_0    conda-forge
fonts-conda-ecosystem     1                             0    conda-forge
fonts-conda-forge         1                             0    conda-forge
fonttools                 4.40.0           py39hd1e30aa_0    conda-forge
freetype                  2.12.1               hca18f0e_1    conda-forge
freexl                    1.0.6                h166bdaf_1    conda-forge
fsspec                    2023.6.0                 pypi_0    pypi
gdal                      3.7.0            py39h6c4e4b7_3    conda-forge
geopandas                 0.10.2                   pypi_0    pypi
geos                      3.11.2               hcb278e6_0    conda-forge
geotiff                   1.7.1               h22adcc9_11    conda-forge
gettext                   0.21.1               h27087fc_0    conda-forge
giflib                    5.2.1                h0b41bf4_3    conda-forge
hdf4                      4.2.15               h501b40f_6    conda-forge
hdf5                      1.14.1          nompi_h4f84152_100    conda-forge
icu                       72.1                 hcb278e6_0    conda-forge
idna                      3.4                pyhd8ed1ab_0    conda-forge
imbalanced-learn          0.11.0           py39h06a4308_1  
importlib-metadata        6.7.0                    pypi_0    pypi
importlib-resources       5.12.0             pyhd8ed1ab_0    conda-forge
importlib_resources       5.12.0             pyhd8ed1ab_0    conda-forge
jmespath                  1.0.1              pyhd8ed1ab_0    conda-forge
joblib                    1.3.1                    pypi_0    pypi
