data,pressao,temp,umidade,ventodir,ventovel,prec,tmin,tmax,urmin,urmax,amplitude_t,wind_chill,heat_index,obitos
2001-10-04,1013.87,19.3,82.33,32.0,12.492,0.5,17.6,21.5,77.0,90.0,3.899999999999999,64.92008395508047,68.80319673512524,4
2001-10-05,1018.33,19.4,81.67,17.0,6.9479999999999995,6.5,18.0,22.0,71.0,91.0,4.0,66.2531787057713,69.14775599614646,10
2001-10-06,1020.4,20.27,80.67,10.67,3.132,0.0,17.4,24.0,64.0,95.0,6.600000000000001,69.46649021420627,69.95248588593095,3
2001-10-09,1013.5,21.9,71.67,15.0,8.172,2.8,19.3,27.0,46.0,89.0,7.699999999999999,71.82101204861273,73.95245031669918,5
2001-10-10,1015.43,22.8,63.67,17.0,10.692,0.0,20.9,26.3,52.0,70.0,5.400000000000002,73.61375183301749,76.03477825206436,9
2001-10-11,1018.73,22.83,70.67,19.67,5.652,0.0,19.8,26.7,61.0,80.0,6.899999999999999,74.41121878833144,75.09075515653224,3
2001-10-12,1022.23,21.83,79.67,11.0,8.748000000000001,0.0,20.2,24.1,71.0,88.0,3.900000000000002,71.56499706622017,71.81441192316964,7
2001-10-13,1021.57,21.6,84.0,16.67,9.360000000000001,0.0,19.6,23.2,79.0,89.0,3.599999999999998,70.92747478006264,70.09797611161623,9
2001-10-14,1019.1,22.83,80.67,15.33,10.548,0.0,20.4,25.8,70.0,87.0,5.400000000000002,73.70189232597312,73.17815236900607,7
2001-10-15,1017.33,22.8,80.67,12.33,15.012,0.0,21.0,25.4,70.0,87.0,4.399999999999999,73.19411873164556,73.12084199049286,7
2001-10-16,1017.9,20.53,88.0,13.67,11.879999999999999,16.2,19.4,21.6,85.0,93.0,2.200000000000003,67.99420810752065,66.93454277700484,9
2001-10-17,1014.3,20.87,87.67,12.33,8.172,0.4,19.6,22.2,85.0,92.0,2.599999999999998,69.40702536505879,67.55326219244203,7
2001-10-18,1012.4,22.87,78.0,12.33,8.172,2.0,19.4,26.3,67.0,91.0,6.900000000000002,74.09437814865866,73.81840247615207,3
2001-10-19,1009.8,23.67,79.67,3.0,3.708,0.0,19.8,28.7,65.0,91.0,8.899999999999999,76.69835951850669,75.11989859789931,6
2001-10-20,1007.43,26.27,65.67,5.67,10.548,0.0,23.6,31.2,51.0,85.0,7.599999999999998,81.93977884918687,81.4683172465725,9
2001-10-22,1011.57,19.63,67.0,25.67,16.812,5.0,16.5,22.2,47.0,90.0,5.699999999999999,65.14439602305018,74.68697825841984,6
2001-10-23,1016.03,19.4,54.33,29.0,8.748000000000001,0.0,16.4,23.6,47.0,59.0,7.200000000000003,65.83724654560613,77.35447293791299,3
2001-10-24,1020.27,22.0,58.0,9.0,4.32,0.0,17.6,27.0,42.0,72.0,9.4,72.84893846770649,76.26730699679999,3
2001-10-25,1019.27,25.17,58.0,21.0,6.228,0.0,19.4,32.1,47.0,65.0,12.700000000000005,79.66776715035527,79.0012549322785,9
2001-10-26,1015.47,25.97,64.67,16.67,11.268,0.0,21.0,32.3,48.0,81.0,11.299999999999995,81.18461784563505,80.71199326753516,12
2001-10-27,1012.6,27.8,65.0,9.33,2.52,0.0,23.4,34.8,45.0,75.0,11.4,85.83386255441502,85.4549665904321,10
2001-10-28,1011.0,29.2,61.67,6.33,3.708,0.0,26.0,35.0,45.0,73.0,9.0,88.85433529307639,88.97312472989643,6
2001-10-29,1013.2,25.27,78.0,21.0,8.748000000000001,0.0,24.4,25.8,77.0,79.0,1.400000000000002,79.67341755630754,79.39680248333903,7
2001-10-30,1013.43,24.03,81.0,19.67,10.548,0.4,22.4,27.1,67.0,89.0,4.700000000000003,76.57557367128025,75.81021735723954,6
2001-10-31,1015.3,24.17,65.33,22.67,10.548,0.0,22.5,27.0,50.0,85.0,4.5,76.9108364948994,77.43941290309328,9
2001-11-02,1018.37,19.63,74.33,12.0,9.360000000000001,2.0,16.6,23.3,58.0,92.0,6.699999999999999,66.25745139532081,72.29631402283539,6
2001-11-03,1017.5,20.43,70.67,16.67,10.548,0.8,18.2,22.5,64.0,75.0,4.300000000000001,67.95452963535888,73.51901293852417,7
2001-11-05,1012.6,23.9,71.33,12.0,3.8520000000000003,0.0,18.7,30.6,55.0,83.0,11.900000000000002,77.17238525684715,76.57361859452345,3
2001-11-06,1012.4,28.2,60.0,15.33,5.04,0.0,23.4,34.6,43.0,73.0,11.200000000000005,86.63001610454239,85.54875782003197,5
2001-11-07,1013.2,24.57,76.67,18.33,8.172,3.5,21.3,26.8,61.0,93.0,5.5,78.07862801471859,77.55539127486527,6
2001-11-08,1017.63,21.53,86.67,12.33,6.228,10.9,19.8,23.2,77.0,95.0,3.3999999999999986,71.32644173040516,69.0155126826906,6
2001-11-09,1019.83,21.6,76.33,13.67,11.879999999999999,0.0,19.4,24.6,66.0,85.0,5.200000000000003,70.58280163010036,72.50892240667253,6
2001-11-10,1013.27,20.37,89.0,10.67,9.251999999999999,16.4,20.0,20.7,81.0,96.0,0.6999999999999993,68.03097496381163,66.2402346239455,3
2001-11-11,1010.6,23.23,79.33,22.67,8.748000000000001,30.3,20.6,26.4,52.0,97.0,5.799999999999997,74.86493563776733,74.23508481184274,5
2001-11-12,1015.0,23.9,65.0,21.0,2.988,0.0,20.6,29.2,45.0,78.0,8.599999999999998,77.37917035807854,77.0822752706079,7
2001-11-13,1013.5,25.47,60.33,9.0,6.84,0.0,22.2,29.2,51.0,71.0,7.0,80.29833318697156,79.53731037807069,5
2001-11-14,1006.9,24.63,69.67,25.67,6.84,1.1,22.2,27.4,62.0,76.0,5.199999999999999,78.35852514855324,78.0233715003346,2
2001-11-15,1009.23,23.43,74.67,13.67,6.84,0.0,22.3,24.2,66.0,79.0,1.8999999999999984,75.58737080795564,75.36418018002877,5
2001-11-16,1015.37,22.4,67.33,18.33,7.452,0.0,20.4,25.4,60.0,75.0,5.0,73.10555735535354,75.1988555486437,7
2001-11-17,1019.3,21.07,64.67,15.0,8.64,0.0,18.6,24.6,54.0,75.0,6.0,69.79231720557307,75.06111219232248,5
2001-11-18,1016.5,22.87,63.0,16.67,5.652,0.0,17.2,28.8,51.0,71.0,11.6,74.50215886820038,76.1675498139311,7
2001-11-19,1015.67,25.5,58.67,22.67,4.932,0.0,21.8,29.4,42.0,72.0,7.599999999999998,80.56069081914839,79.5272925338956,5
2001-11-20,1014.03,26.6,63.33,7.67,5.04,0.0,22.4,33.2,38.0,77.0,10.800000000000004,83.02598429668674,82.01952751713813,10
2001-11-21,1011.5,28.57,66.33,12.33,9.360000000000001,0.0,23.2,34.0,54.0,83.0,10.8,87.45034939511372,88.22068494516493,11
2001-11-22,1012.7,25.2,78.67,12.33,7.452,14.5,21.0,29.9,61.0,95.0,8.899999999999999,79.61760736821361,79.1880155368877,3
2001-11-23,1009.03,25.93,78.67,13.67,5.652,0.0,22.8,31.2,63.0,88.0,8.399999999999999,81.45907497817485,81.47431009890414,8
2001-11-24,1008.13,26.6,76.67,13.67,5.04,0.4,24.2,31.2,59.0,86.0,7.0,83.02598429668674,83.55881593959963,6
2001-11-25,1019.0,18.8,88.0,15.0,10.548,1.4,17.8,20.0,87.0,89.0,2.1999999999999997,64.05111247465004,65.530177512288,7
2001-11-26,1016.53,21.2,87.67,12.33,7.5600000000000005,13.3,18.0,24.8,84.0,92.0,6.800000000000001,70.2938665324948,68.06335430818054,4
2001-11-27,1014.37,22.4,85.33,20.0,14.868,72.6,21.6,23.5,70.0,97.0,1.8999999999999984,72.21964267426944,71.1258090982328,8
2001-11-28,1014.7,22.67,64.67,18.0,9.251999999999999,0.3,20.8,25.2,62.0,67.0,4.399999999999999,73.47794495190413,75.80626742324436,8
2001-11-29,1012.9,21.77,67.33,13.67,9.251999999999999,0.0,18.6,24.9,59.0,79.0,6.299999999999997,71.34652191308533,74.7692200315465,7
