data,pressao,temp,umidade,ventodir,ventovel,prec,tmin,tmax,urmin,urmax,amplitude_t,wind_chill,heat_index,infarto_agudo_miocardio
2001-10-05,1018.33,19.4,81.67,17.0,6.9479999999999995,6.5,18.0,22.0,71.0,91.0,4.0,66.2531787057713,69.14775599614646,3.0
2001-10-20,1007.43,26.27,65.67,5.67,10.548,0.0,23.6,31.2,51.0,85.0,7.599999999999998,81.93977884918687,81.4683172465725,3.0
2001-10-25,1019.27,25.17,58.0,21.0,6.228,0.0,19.4,32.1,47.0,65.0,12.700000000000005,79.66776715035527,79.0012549322785,1.0
2001-10-26,1015.47,25.97,64.67,16.67,11.268,0.0,21.0,32.3,48.0,81.0,11.299999999999995,81.18461784563505,80.71199326753516,4.0
2001-10-27,1012.6,27.8,65.0,9.33,2.52,0.0,23.4,34.8,45.0,75.0,11.4,85.83386255441502,85.4549665904321,1.0
2001-11-20,1014.03,26.6,63.33,7.67,5.04,0.0,22.4,33.2,38.0,77.0,10.800000000000004,83.02598429668674,82.01952751713813,0.0
2001-11-21,1011.5,28.57,66.33,12.33,9.360000000000001,0.0,23.2,34.0,54.0,83.0,10.8,87.45034939511372,88.22068494516493,2.0
2001-12-06,1008.7,22.53,82.67,24.0,11.268,2.9,20.2,26.6,64.0,96.0,6.400000000000002,72.90011026652084,72.11877357642564,0.0
2001-12-08,1012.0,23.23,78.67,15.67,16.092,0.0,22.2,25.1,74.0,87.0,2.900000000000002,74.17346530351205,74.35394428249266,2.0
2001-12-10,1017.43,20.2,77.33,15.0,6.228,0.0,17.0,24.4,72.0,86.0,7.399999999999999,68.27864975003877,71.2414456517409,3.0
2001-12-12,1013.33,27.2,76.67,12.33,4.428,0.0,23.4,32.2,56.0,89.0,8.800000000000004,84.41191908182694,85.72011625828682,3.0
2001-12-13,1009.47,26.47,80.33,11.67,7.5600000000000005,0.0,24.2,30.2,66.0,88.0,6.0,82.56513623789427,83.52659969406447,4.0
2001-12-21,1007.53,25.73,79.33,12.33,5.652,14.0,20.2,32.6,62.0,96.0,12.400000000000002,81.0043745788301,80.8482270992698,4.0
2002-01-04,1011.23,25.47,69.33,23.0,5.508,0.0,24.0,28.2,57.0,77.0,4.199999999999999,80.42854389513167,79.80658040707586,3.0
2002-01-10,1021.43,26.13,72.67,12.0,11.16,0.0,23.8,28.8,65.0,79.0,5.0,81.5750090959952,81.67618724308763,2.0
2002-01-13,1010.9,26.4,76.0,13.67,5.292,0.7,25.0,27.4,69.0,86.0,2.3999999999999986,82.55521233626123,82.80789081676802,5.0
