data,obito,heat_index,wind_chill,tmin,temp,tmax,amplitude_t,urmin,umidade,urmax,prec,pressao,ventodir,ventovel
2001-10-04,4,74.29608707813641,60.06060180909317,17.3,19.3,23.5,6.199999999999999,77.0,82.33,90.0,0.5,1013.87,32.0,12.492
2001-10-05,10,72.32062146039853,58.8538719923965,16.2,19.4,22.5,6.300000000000001,71.0,81.67,91.0,6.5,1018.33,17.0,6.9479999999999995
2001-10-06,3,77.37840519841811,60.20307029337233,16.0,20.27,24.6,8.600000000000001,64.0,80.67,95.0,0.0,1020.4,10.67,3.132
2001-10-09,5,84.83753031585974,61.274468285512974,17.4,21.9,27.2,9.8,46.0,71.67,89.0,2.8,1013.5,15.0,8.172
2001-10-10,9,81.36526122919182,55.872208557892904,15.4,22.8,26.3,10.9,52.0,63.67,70.0,0.0,1015.43,17.0,10.692
2001-10-11,3,84.66811496267022,56.837048353657444,15.1,22.83,27.2,12.1,61.0,70.67,80.0,0.0,1018.73,19.67,5.652
2001-10-12,7,79.17862784273655,55.46601103502927,15.0,21.83,25.2,10.2,71.0,79.67,88.0,0.0,1022.23,11.0,8.748000000000001
2001-10-13,9,74.25690606505606,63.5787070172709,18.5,21.6,23.6,5.100000000000001,79.0,84.0,89.0,0.0,1021.57,16.67,9.360000000000001
2001-10-14,7,89.06010198566231,66.44584692907264,19.8,22.83,27.8,8.0,70.0,80.67,87.0,0.0,1019.1,15.33,10.548
2001-10-15,7,81.84139799706585,65.78753767627005,19.8,22.8,26.0,6.199999999999999,70.0,80.67,87.0,0.0,1017.33,12.33,15.012
2001-10-16,9,69.8701254751682,64.2927612948599,19.0,20.53,22.2,3.1999999999999993,85.0,88.0,93.0,16.2,1017.9,13.67,11.879999999999999
2001-10-17,7,80.23104503180171,63.61814467731294,18.4,20.87,25.5,7.100000000000001,85.0,87.67,92.0,0.4,1014.3,12.33,8.172
