data,obito,heat_index,wind_chill,tmin,temp,tmax,amplitude_t,urmin,umidade,urmax,prec,pressao,ventodir,ventovel
2002-06-01,13,75.76313857981111,49.24263502541653,12.0,16.97,24.2,12.2,66.0,85.33,96.0,0.0,1021.4,10.67,6.732
2002-06-02,11,70.5619235175003,60.3030347936586,16.0,19.1,22.5,6.5,84.0,88.0,93.0,0.4,1017.33,7.67,2.988
2002-06-03,7,69.94881478750023,63.24443766796192,18.3,19.77,22.5,4.199999999999999,80.0,90.0,96.0,17.1,1016.1,12.33,8.748000000000001
2002-06-04,10,100.66515071235891,62.464570941053545,17.0,22.93,30.0,13.0,56.0,81.67,96.0,0.0,1013.3,13.67,2.988
2002-06-05,8,95.63581612233827,65.2344930457284,19.0,24.63,30.3,11.3,48.0,68.33,84.0,0.0,1009.0,24.0,7.308
2002-06-06,8,76.14463247176501,60.834493226481186,16.6,19.2,24.3,7.699999999999999,64.0,84.67,97.0,9.7,1013.67,15.33,4.32
2002-06-07,6,60.76864704970184,55.265912905783885,14.8,15.77,17.4,2.599999999999998,92.0,94.33,97.0,61.400000000000006,1014.23,10.67,7.920000000000001
2002-06-08,6,65.20425164161584,58.03365110816533,15.0,16.53,19.0,4.0,76.0,88.67,98.0,2.7,1019.3,10.67,3.132
2002-06-09,9,63.25908598028347,60.94561641381889,17.0,18.13,19.6,2.6000000000000014,87.0,92.67,96.0,14.9,1014.07,16.67,6.228
2002-06-10,8,72.57929997715627,45.729948331181006,10.6,14.83,19.4,8.799999999999999,60.0,73.67,96.0,33.2,1020.43,30.0,7.308
2002-06-11,9,70.8052583800762,47.60302250517941,9.4,11.0,13.2,3.799999999999999,81.0,89.67,94.0,10.8,1021.47,3.0,1.8
2002-06-12,10,71.82439482556629,44.73314633822015,9.6,12.03,14.0,4.4,78.0,86.33,91.0,0.3,1021.67,12.33,5.04
2002-06-13,7,75.06458810108826,48.407688954544284,10.8,12.3,13.8,3.0,77.0,83.0,89.0,0.0,1022.03,18.0,3.708
2002-06-14,6,75.73125776887592,48.898222402437156,11.2,13.2,16.1,4.900000000000002,53.0,74.0,86.0,0.0,1025.77,18.33,4.212
2002-06-15,9,66.69817053260788,38.470224305139965,5.6,11.37,18.6,13.000000000000002,69.0,86.0,96.0,0.0,1030.27,7.67,2.52
2002-06-16,11,67.09450659402802,54.701824812141474,14.0,16.87,20.4,6.399999999999999,83.0,87.33,90.0,0.0,1024.83,19.67,4.932
2002-06-17,15,75.9199665645254,58.4841760350192,14.2,18.67,24.4,10.2,75.0,89.67,98.0,0.0,1018.67,3.0,1.1880000000000002
2002-06-18,9,62.8491803810561,56.391600940000814,14.0,16.13,18.6,4.600000000000001,88.0,92.0,96.0,21.9,1017.33,10.67,2.52
2002-06-19,11,66.59743499883984,41.76223271864437,8.6,13.27,17.3,8.700000000000001,75.0,86.67,97.0,0.0,1024.57,30.33,6.12
2002-06-20,9,67.60378972320021,46.57527266950951,8.3,13.53,21.0,12.7,71.0,88.0,98.0,0.1,1022.9,4.67,1.1880000000000002
2002-06-21,5,73.25682412257575,46.036896220852086,9.4,13.8,15.1,5.699999999999999,66.0,81.33,93.0,0.0,1024.9,13.67,2.988
2002-06-22,12,88.34820184162615,36.50763373112879,6.8,9.63,12.6,5.8,53.0,66.33,76.0,0.0,1032.8,24.33,8.028
2002-06-23,9,73.94935685930443,36.68482750154383,3.4,7.83,13.4,10.0,79.0,85.67,95.0,0.0,1032.37,4.67,1.1880000000000002
2002-06-24,13,83.9855367991629,31.766134962448373,3.8,9.87,12.8,9.0,58.0,74.33,88.0,0.0,1030.67,19.67,4.932
2002-06-25,10,77.57863609052805,32.46707523973516,3.8,9.1,14.2,10.399999999999999,67.0,78.0,91.0,0.0,1031.47,28.67,4.212
2002-06-26,11,65.01679169186541,61.221500000000006,5.0,11.17,17.8,12.8,76.0,88.67,96.0,0.0,1028.87,0.0,0.0
