data,obito,heat_index,wind_chill,tmin,temp,tmax,amplitude_t,urmin,umidade,urmax,prec,pressao,ventodir,ventovel
2001-12-01,5,75.9977998724077,56.120011565257485,15.0,20.3,24.2,9.2,65.0,83.33,94.0,0.5,1006.33,21.0,6.84
2001-12-02,4,86.80756291400063,59.444024570434664,16.0,22.9,27.8,11.8,57.0,71.33,81.0,0.0,1013.8,23.0,4.428
2001-12-03,6,88.13849186873223,59.87391209499689,17.0,23.3,28.1,11.100000000000001,66.0,72.33,81.0,0.0,1016.83,13.67,9.972
2001-12-04,8,86.04878552080007,69.82816369737529,21.0,22.83,27.0,6.0,75.0,83.0,88.0,0.0,1016.0,18.33,7.5600000000000005
2001-12-05,6,70.70267903951071,63.39279303264802,18.0,20.73,23.2,5.199999999999999,89.0,94.67,98.0,31.5,1011.73,9.0,5.760000000000001
2001-12-06,7,85.99110554041393,64.63968555827617,19.1,22.53,27.0,7.899999999999999,64.0,82.67,96.0,2.9,1008.7,24.0,11.268
2001-12-07,3,91.74420931086259,68.19340707666683,20.0,24.93,28.9,8.899999999999999,61.0,73.67,85.0,0.6,1010.3,21.33,4.932
2001-12-08,8,95.00051528377462,63.16955844447419,18.8,23.23,29.2,10.399999999999999,74.0,78.67,87.0,0.0,1012.0,15.67,16.092
2001-12-09,7,73.40853483682787,59.74958568160729,16.4,19.37,20.8,4.400000000000002,68.0,71.33,75.0,0.0,1016.3,18.0,5.760000000000001
2001-12-10,8,77.59094772203235,54.75836953638336,14.3,20.2,24.6,10.3,72.0,77.33,86.0,0.0,1017.43,15.0,6.228
2001-12-11,4,101.11298602327506,56.20604452979637,15.3,24.23,30.6,15.3,68.0,76.33,89.0,0.0,1015.37,19.67,8.64
2001-12-12,10,111.84591983519182,71.70504419656481,21.5,27.2,32.4,10.899999999999999,56.0,76.67,89.0,0.0,1013.33,12.33,4.428
2001-12-13,8,103.39916362120387,73.5537863783315,22.6,26.47,30.6,8.0,66.0,80.33,88.0,0.0,1009.47,11.67,7.5600000000000005
2001-12-14,5,88.80429937294463,71.87570287848737,22.0,25.0,27.8,5.800000000000001,70.0,79.67,88.0,0.0,1011.0,15.33,9.360000000000001
2001-12-15,3,83.55881593959963,62.28863229426864,18.0,22.7,26.6,8.600000000000001,65.0,76.67,86.0,0.4,1013.2,3.67,9.828
2001-12-16,5,88.38493154876826,63.802628765553486,18.4,22.2,27.8,9.400000000000002,66.0,78.0,85.0,0.0,1011.67,23.0,7.452
2001-12-17,5,92.72352937695877,66.21048837562367,20.0,25.0,30.0,10.0,38.0,64.33,81.0,0.0,1007.63,27.33,15.588000000000001
2001-12-18,4,89.05830414779604,66.35733718535423,19.2,23.67,28.2,9.0,65.0,74.33,79.0,0.0,1008.4,13.67,5.04
2001-12-19,1,104.28423434678841,61.40525524138173,16.8,25.33,32.6,15.8,46.0,64.67,75.0,0.0,1007.77,5.67,4.068
2001-12-20,6,115.7524165138103,70.22380681584937,21.0,29.5,35.6,14.600000000000001,43.0,59.33,73.0,0.0,1009.73,21.33,5.760000000000001
2001-12-21,10,120.87944348776398,63.43020414415609,18.0,25.73,33.4,15.399999999999999,62.0,79.33,96.0,14.0,1007.53,12.33,5.652
2001-12-25,7,85.6992564514361,61.59047507822394,18.1,23.83,28.1,10.0,53.0,62.0,76.0,0.0,1023.13,13.67,15.012
2001-12-26,5,90.87680129942785,62.249799343566615,17.8,24.87,29.6,11.8,53.0,63.33,77.0,0.0,1018.77,15.33,8.028
2001-12-27,6,101.3822040953407,63.654313329462454,18.0,26.0,32.3,14.299999999999997,51.0,62.33,74.0,0.0,1014.5,21.0,5.04
2001-12-28,7,107.24411648320027,69.88275079233688,20.9,28.0,33.0,12.100000000000001,55.0,66.0,78.0,0.0,1012.43,10.67,6.228
