,dia,obito,heat_index,wind_chill,tmin,temp,tmax,amplitude_t,urmin,umidade,urmax,prec,pressao,ventodir,ventovel
0,1,6.0,101.09,70.09,21.17,26.53,30.75,9.58,59.37,71.74,81.79,2.78,1010.65,15.6,8.45
1,2,6.0,99.86,70.33,21.26,26.2,30.56,9.3,59.55,71.25,80.4,3.83,1010.78,14.95,8.26
2,3,6.95,97.92,67.92,20.18,25.68,30.06,9.87,59.55,72.0,81.6,4.91,1011.68,14.33,7.77
3,4,7.3,98.99,68.63,20.38,25.92,30.6,10.23,56.4,71.37,83.55,5.58,1011.9,16.02,6.66
4,5,5.67,100.8,68.67,20.47,26.42,31.16,10.69,57.52,69.95,80.19,4.36,1011.21,16.09,7.39
5,6,6.81,105.02,69.83,20.94,27.05,31.99,11.05,53.95,68.87,81.24,3.48,1010.62,18.71,7.3
6,7,7.05,103.55,69.4,20.77,27.1,31.75,10.98,54.43,67.59,77.67,1.96,1011.39,18.14,7.42
7,8,7.05,102.94,70.39,21.24,27.26,31.82,10.58,53.86,66.9,77.19,4.79,1011.93,15.17,7.88
8,9,5.71,108.14,70.98,21.53,27.52,32.51,10.98,57.33,69.81,80.62,1.68,1012.31,16.4,8.36
9,10,5.9,108.36,72.55,22.08,27.38,32.2,10.12,60.81,73.08,84.43,4.82,1011.58,16.44,8.07
10,11,5.71,106.18,72.07,21.93,26.94,31.84,9.91,59.81,73.0,84.38,6.9,1011.77,16.84,7.36
11,12,6.48,101.9,71.25,21.5,26.81,31.29,9.79,57.52,70.79,81.86,2.12,1012.06,15.97,6.69
12,13,6.81,100.11,69.67,20.97,26.55,30.83,9.87,58.29,70.68,80.81,3.95,1012.35,15.02,8.08
13,14,5.95,101.05,70.05,21.1,26.55,31.07,9.98,58.65,70.32,80.05,3.89,1012.12,16.68,7.96
14,15,7.1,102.14,70.97,21.45,26.64,31.32,9.88,55.85,70.1,81.85,4.12,1011.76,18.35,7.56
15,16,8.05,103.43,69.9,21.07,26.91,31.64,10.57,54.9,67.75,78.71,3.45,1011.18,17.65,8.16
16,17,5.76,101.38,68.14,20.21,26.13,30.89,10.68,58.67,71.81,82.48,6.72,1011.78,18.32,7.84
17,18,5.81,98.56,69.64,20.87,26.18,30.49,9.62,60.38,71.62,80.52,3.59,1012.42,15.05,8.54
18,19,6.38,99.26,68.18,20.24,26.05,30.63,10.39,59.81,72.32,82.52,7.81,1012.79,15.94,7.34
19,20,5.67,99.77,68.57,20.5,26.27,31.0,10.5,54.71,68.86,80.29,3.16,1012.78,16.28,8.42
20,21,5.57,95.72,68.43,20.4,25.9,30.06,9.66,58.19,69.27,77.24,1.89,1014.04,13.87,8.06
21,22,5.1,99.63,68.99,20.61,26.15,30.79,10.18,57.67,70.7,82.1,3.44,1014.03,13.62,7.62
