Nome: PORTO ALEGRE - JARDIM BOTANICO
Codigo Estacao: A801
Latitude: -30.05351111
Longitude: -51.17472221
Altitude: 41.18
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;26,5;27,7;26,4;57;54;2;
2023-01-01;0100;26,8;26,9;26,2;56;49;1,9;
2023-01-01;0200;26,3;26,9;25,6;53;47;1,5;
2023-01-01;0300;25,2;26,6;25,2;59;48;1,4;
2023-01-01;0400;24,1;25,2;24;65;59;1,1;
2023-01-01;0500;23,1;24,1;23;73;65;1,1;
2023-01-01;0600;22;23,1;22;81;73;1,1;
2023-01-01;0700;21,5;22;21,5;89;81;1,2;
2023-01-01;0800;21;21,5;21;91;89;,9;
2023-01-01;0900;21,1;21,1;20,8;92;91;1,2;
2023-01-01;1000;23,5;23,5;21,1;91;81;1,1;
2023-01-01;1100;26,2;26,3;23,6;82;72;1;
2023-01-01;1200;28,7;28,7;26,2;73;55;1,1;
2023-01-01;1300;30,8;31;28,5;60;45;,9;
2023-01-01;1400;32,7;32,9;30,6;48;36;1,7;
2023-01-01;1500;33,8;34,8;32,6;41;34;1,3;
2023-01-01;1600;35,9;36;33,8;39;32;1,1;
2023-01-01;1700;35,9;36,5;35,2;38;32;1,5;
2023-01-01;1800;35,6;37;34,5;42;34;2,2;
2023-01-01;1900;34,4;35,8;33,9;44;39;2,1;
2023-01-01;2000;31,9;34,4;31,8;47;41;3,6;
2023-01-01;2100;31,6;32;31,5;51;45;1,9;
2023-01-01;2200;29,2;31,6;29,2;57;47;2,4;
2023-01-01;2300;27,7;29,2;27,7;60;56;1,3;
2023-01-02;0000;27,7;27,8;27,4;62;60;1,8;
2023-01-02;0100;26,6;27,7;26,6;67;60;1,1;
2023-01-02;0200;26,7;26,9;26,2;69;64;1,5;
2023-01-02;0300;26,9;27,1;26,6;66;63;1;
2023-01-02;0400;26,3;27;26,3;68;63;,7;
2023-01-02;0500;26,1;26,6;26,1;69;65;,6;
2023-01-02;0600;25,4;26,1;25,4;72;68;,5;
2023-01-02;0700;25,5;26;25,4;80;70;,9;
2023-01-02;0800;25,6;25,9;25,5;80;75;1;
2023-01-02;0900;25,4;25,6;25,4;78;76;1;
2023-01-02;1000;27,4;27,4;25,4;78;64;1,2;
2023-01-02;1100;26,6;27,7;26,6;74;63;1,1;
2023-01-02;1200;26,5;26,7;26;78;72;1,3;
2023-01-02;1300;28,7;28,7;26,5;75;61;2,9;
2023-01-02;1400;29,4;29,5;28,4;62;59;2,4;
2023-01-02;1500;29,8;30,9;29,3;66;59;1,9;
2023-01-02;1600;31,8;31,9;29,4;67;55;1,9;
2023-01-02;1700;31,8;32,7;31,1;59;51;3,2;
2023-01-02;1800;32,9;33,2;31,1;58;50;2,3;
2023-01-02;1900;33,3;33,6;32,5;53;49;2;
2023-01-02;2000;32,4;33,5;32,3;53;49;1,6;
2023-01-02;2100;30,1;33;30,1;63;51;3,1;
2023-01-02;2200;23,6;30,1;23,6;92;63;,8;
2023-01-02;2300;24,6;24,7;23,6;94;91;,8;
2023-01-03;0000;25,3;25,5;24,6;92;86;1,1;
2023-01-03;0100;24,9;25,6;24,8;90;85;null;
2023-01-03;0200;24,6;25,5;24,6;90;84;,9;
2023-01-03;0300;24,1;24,8;24;93;87;,8;
2023-01-03;0400;24,4;24,6;23,9;93;88;1,6;
2023-01-03;0500;23,7;24,5;23,7;88;84;,9;
2023-01-03;0600;23,2;23,7;23,1;87;83;,9;
2023-01-03;0700;22,5;23,2;22,5;86;82;1,3;
2023-01-03;0800;21,9;22,5;21,9;82;80;1,2;
2023-01-03;0900;21,4;21,9;21,4;85;81;1,3;
2023-01-03;1000;22,9;23;21,4;85;77;1,3;
2023-01-03;1100;24,2;24,5;22,9;79;70;1,3;
2023-01-03;1200;25,2;25,9;23,5;75;64;1,1;
2023-01-03;1300;26,7;26,7;24,7;70;60;1,2;
2023-01-03;1400;27,1;28,3;25;65;52;1,9;
2023-01-03;1500;28,2;28,3;26,7;58;51;1,7;
2023-01-03;1600;29;29,3;27,3;54;47;1,9;
2023-01-03;1700;29,6;30;28,4;53;45;1,3;
2023-01-03;1800;27,7;29,8;27,7;56;49;1,9;
2023-01-03;1900;27,6;28,4;27,2;59;52;2,1;
2023-01-03;2000;25,7;27,7;25,7;58;51;1,8;
2023-01-03;2100;24,9;25,8;24,8;57;49;1,9;
2023-01-03;2200;23,8;24,9;23,8;70;55;1,9;
2023-01-03;2300;22,9;23,8;22,9;73;69;2,6;
2023-01-04;0000;22,2;22,9;22,2;75;73;1,5;
2023-01-04;0100;21,6;22,2;21,6;77;73;1,7;
2023-01-04;0200;21,2;21,6;21,2;81;76;1,7;
2023-01-04;0300;20,9;21,2;20,8;83;81;,8;
2023-01-04;0400;20,5;20,9;20,5;86;83;,8;
2023-01-04;0500;20,4;20,7;20,4;87;85;,5;
2023-01-04;0600;20,2;20,4;20,1;89;86;,6;
2023-01-04;0700;20,1;20,5;20,1;89;86;,7;
2023-01-04;0800;20;20,2;20;89;87;,8;
2023-01-04;0900;20,3;20,4;20;89;87;,7;
2023-01-04;1000;21,4;21,4;20,2;88;84;,3;
2023-01-04;1100;22,5;22,8;21,4;84;76;1;
2023-01-04;1200;24,4;24,4;22,5;78;69;1,4;
2023-01-04;1300;26,3;26,5;24,4;72;55;1;
2023-01-04;1400;27,8;28,2;26;59;46;1,4;
2023-01-04;1500;30,1;30,1;27,8;51;41;1,1;
2023-01-04;1600;31;31;29,2;49;39;2;
2023-01-04;1700;32,2;32,5;29,9;45;32;1,9;
2023-01-04;1800;31,6;32,9;30,8;40;28;2,1;
2023-01-04;1900;31,3;31,9;30;38;26;3,1;
2023-01-04;2000;30,8;31,6;30,7;32;25;2,3;
2023-01-04;2100;29,1;30,8;29,1;42;29;2,7;
2023-01-04;2200;27,1;29,1;27,1;43;35;1,8;
2023-01-04;2300;24,6;27,1;24,6;52;43;1,7;
2023-01-05;0000;23,2;24,6;23,2;60;52;1,7;
2023-01-05;0100;22,7;23,3;22,7;66;59;1,3;
2023-01-05;0200;22,3;22,8;22,2;72;66;1,4;
2023-01-05;0300;21,1;22,3;21,1;81;72;,9;
2023-01-05;0400;20,9;21,2;20,8;84;81;1,8;
2023-01-05;0500;20,2;20,9;20,2;88;84;1;
2023-01-05;0600;19,8;20,2;19,6;91;88;,8;
2023-01-05;0700;19,5;19,9;19,3;92;90;1,2;
2023-01-05;0800;19,6;19,6;19,4;90;89;1,7;
2023-01-05;0900;19,6;19,7;19,5;90;89;1,2;
2023-01-05;1000;22,2;22,5;19,6;89;76;1,3;
2023-01-05;1100;24,2;24,2;22,2;77;64;1,3;
2023-01-05;1200;25,1;25,7;23,6;68;57;1,1;
2023-01-05;1300;27,6;27,9;25,2;62;49;1,4;
2023-01-05;1400;29,2;29,2;27,1;51;37;,9;
2023-01-05;1500;29,8;30,7;28,7;42;29;1,3;
2023-01-05;1600;32,2;32,2;29,6;35;25;1,8;
2023-01-05;1700;32,6;33;30,5;41;26;1,2;
2023-01-05;1800;31,7;32,9;31,1;36;27;1,9;
2023-01-05;1900;31,4;32,1;29,7;39;33;2,4;
2023-01-05;2000;30;31,4;30;38;35;2,4;
2023-01-05;2100;28;30;28;42;36;2,9;
2023-01-05;2200;26,1;28;26,1;49;41;3;
2023-01-05;2300;24,1;26,1;24,1;61;49;2,1;
2023-01-06;0000;22,7;24,1;22,7;73;61;2,6;
2023-01-06;0100;22;22,7;22;78;73;1,9;
2023-01-06;0200;21,7;22;21,6;79;77;1,5;
2023-01-06;0300;21,6;21,7;21,5;80;78;2,3;
2023-01-06;0400;21,2;21,6;21,1;82;79;1,7;
2023-01-06;0500;20,9;21,3;20,9;81;79;1,8;
2023-01-06;0600;20,6;21,1;20,6;82;79;1,3;
2023-01-06;0700;20,4;20,6;20,2;83;80;1,1;
2023-01-06;0800;19,3;20,5;19,2;87;79;1;
2023-01-06;0900;19,8;19,8;19,3;87;84;,6;
2023-01-06;1000;23;23,1;19,8;84;72;,8;
2023-01-06;1100;24,2;24,6;22,9;73;64;1,2;
2023-01-06;1200;26,2;26,5;23,8;68;55;1,3;
2023-01-06;1300;26,8;27,1;25,5;61;53;2;
2023-01-06;1400;28,4;28,7;26,4;57;44;2;
2023-01-06;1500;28,3;29,6;27,3;52;42;2,4;
2023-01-06;1600;29,2;29,9;28,1;51;41;2,8;
2023-01-06;1700;30;30;28,7;45;40;2,3;
2023-01-06;1800;28,7;30,1;28,3;44;40;3,7;
2023-01-06;1900;28,2;29,3;28,1;47;40;3,5;
2023-01-06;2000;27;28,5;26,9;49;46;4,2;
2023-01-06;2100;25,5;27;25,5;54;49;3;
2023-01-06;2200;24;25,5;24;58;53;2,7;
2023-01-06;2300;22,9;24;22,9;64;57;4,1;
2023-01-07;0000;22,1;22,9;22,1;70;64;2,9;
2023-01-07;0100;21,6;22,1;21,6;72;70;2,3;
2023-01-07;0200;21,2;21,6;21,2;74;72;2,1;
2023-01-07;0300;20,9;21,2;20,9;74;73;1,7;
2023-01-07;0400;20,4;20,9;20,3;77;74;1,5;
2023-01-07;0500;20,1;20,5;20,1;78;76;1,6;
2023-01-07;0600;19,9;20,3;19,8;80;78;1,3;
2023-01-07;0700;19,7;20;19,6;81;79;,9;
2023-01-07;0800;18,9;19,7;18,9;85;80;1;
2023-01-07;0900;19,1;19,2;18,5;86;83;1,3;
2023-01-07;1000;22,1;22,1;19,1;84;74;1,4;
2023-01-07;1100;24,6;24,6;22,1;74;64;1;
2023-01-07;1200;26;26,1;24,2;66;54;1,9;
2023-01-07;1300;27,8;27,8;25,2;61;52;1,3;
2023-01-07;1400;27,8;28;26,3;57;49;2,1;
2023-01-07;1500;28,1;28,2;25,9;58;49;2,4;
2023-01-07;1600;27,8;28,8;27,3;54;45;2,7;
2023-01-07;1700;28,5;29,8;27,8;50;44;3,7;
2023-01-07;1800;29,1;29,7;27,8;50;45;3,5;
2023-01-07;1900;28,1;29,6;27,5;50;45;3,6;
2023-01-07;2000;26,6;28,3;26,5;57;48;4,5;
2023-01-07;2100;25,7;26,8;25,6;60;53;3,5;
2023-01-07;2200;23,9;25,8;23,9;65;59;3,7;
2023-01-07;2300;22,7;23,9;22,7;68;64;2,7;
2023-01-08;0000;22,2;22,7;22,2;70;68;2,3;
2023-01-08;0100;21,7;22,2;21,7;72;69;2,7;
2023-01-08;0200;21,3;21,7;21,3;76;72;2,8;
2023-01-08;0300;21;21,3;20,9;79;76;1,9;
2023-01-08;0400;21,1;21,2;21;79;77;2,6;
2023-01-08;0500;20,8;21,1;20,7;80;77;2,4;
2023-01-08;0600;20,4;20,8;20,4;81;78;1,7;
2023-01-08;0700;20,1;20,4;20;84;81;1,8;
2023-01-08;0800;19,9;20,1;19,8;86;84;1,1;
2023-01-08;0900;19,6;20,1;19,6;87;85;,5;
2023-01-08;1000;21,9;22,3;19,5;88;76;1,4;
2023-01-08;1100;24;25,2;22;77;64;,9;
2023-01-08;1200;25,4;25,7;23,8;70;58;,8;
2023-01-08;1300;27,1;27,1;24,9;60;50;1,6;
2023-01-08;1400;28,5;28,5;26,6;52;45;1,3;
2023-01-08;1500;30,1;30,1;27;52;44;1,7;
2023-01-08;1600;28;30,2;27,5;49;42;2,4;
2023-01-08;1700;28,7;30,8;28;50;38;2,5;
2023-01-08;1800;29,4;29,7;27,7;52;45;2,7;
2023-01-08;1900;28;29,5;27;57;50;3,9;
2023-01-08;2000;26,6;28,5;26,1;60;52;4;
2023-01-08;2100;25;26,7;25;61;57;3,3;
2023-01-08;2200;23,6;25;23,6;65;61;2,8;
2023-01-08;2300;22,4;23,6;22,4;69;65;2,1;
2023-01-09;0000;21,7;22,4;21,7;72;68;2;
2023-01-09;0100;21,1;21,7;21,1;76;72;1,9;
2023-01-09;0200;null;null;null;null;null;null;
2023-01-09;0300;20,9;21,1;20,8;81;76;1,6;
2023-01-09;0400;20,8;21;20,8;81;79;2;
2023-01-09;0500;20,5;20,9;20,5;83;81;1,8;
2023-01-09;0600;20,2;20,6;20,2;87;83;1,9;
2023-01-09;0700;19,9;20,2;19,9;88;87;1,9;
2023-01-09;0800;19,8;19,9;19,7;89;88;1,9;
2023-01-09;0900;20,2;20,2;19,7;88;86;2;
2023-01-09;1000;21,2;21,2;20,2;86;83;,9;
2023-01-09;1100;23,5;24,1;21,2;83;71;1,7;
2023-01-09;1200;26,3;26,3;23,5;73;61;1,6;
2023-01-09;1300;28,3;28,3;26,2;61;51;,9;
2023-01-09;1400;27,4;28,9;27;54;47;1,6;
2023-01-09;1500;28,2;30,7;27,3;54;43;,9;
2023-01-09;1600;28,7;31,6;28,2;52;41;1,5;
2023-01-09;1700;30;31,7;28,6;47;39;2,1;
