Nome: PORTO ALEGRE
Codigo Estacao: 83967
Latitude: -30.05361111
Longitude: -51.17472221
Altitude: 41.18
Situacao: Operante
Data Inicial: 1996-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, HORARIA(mB);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA(codigo);VENTO, VELOCIDADE HORARIA(m/s);
1996-01-01;0000;0;null;20,7;78;14;1,3;
1996-01-01;1200;0;null;24,8;70;14;1,6;
1996-01-01;1800;0;null;28,8;59;14;7;
1996-01-02;0000;0;null;22,6;82;36;2,1;
1996-01-02;1200;0;null;26,4;67;14;,5;
1996-01-02;1800;0;null;32;58;36;4;
1996-01-03;0000;0;null;23,4;81;36;2;
1996-01-03;1200;0;null;26,8;66;9;1,6;
1996-01-03;1800;0;null;32;55;36;1,4;
1996-01-04;0000;0;null;23,7;82;36;3,3;
1996-01-04;1200;0;null;28;65;14;1,3;
1996-01-04;1800;0;null;35,3;49;36;1,3;
1996-01-05;0000;0;null;27;78;36;,8;
1996-01-05;1200;,8;null;23,6;88;18;1,6;
1996-01-05;1800;31,6;null;22;91;5;3,5;
1996-01-06;0000;3,3;null;20,4;79;18;2,1;
1996-01-06;1200;0;null;22,4;67;18;1,3;
1996-01-06;1800;0;null;25,5;59;14;6,1;
1996-01-07;0000;0;null;20,4;71;5;1,6;
1996-01-07;1200;0;null;23,6;69;14;2;
1996-01-07;1800;0;null;27,3;56;14;6,6;
1996-01-08;0000;0;null;21,5;75;36;2,6;
1996-01-08;1200;,5;null;23,4;82;0;0;
1996-01-08;1800;0;null;32,2;59;0;0;
1996-01-09;0000;0;null;24,1;76;0;0;
1996-01-09;1200;0;null;26,4;63;36;1,6;
1996-01-09;1800;0;null;33,5;56;18;1,5;
1996-01-10;0000;9;null;24,8;91;0;0;
1996-01-10;1200;0;null;26,8;73;32;1,3;
1996-01-10;1800;0;null;29,1;73;23;2;
1996-01-11;0000;0;null;25,8;74;36;3;
1996-01-11;1200;0;null;28,2;58;5;,8;
1996-01-11;1800;0;null;35,6;47;27;1,3;
1996-01-12;0000;0;null;30;62;32;2;
1996-01-12;1200;0;null;27,8;73;32;1,6;
1996-01-12;1800;0;null;30,8;60;27;3,6;
1996-01-13;0000;0;null;25,2;78;9;1,5;
1996-01-13;1200;0;null;25,8;79;14;1,6;
1996-01-13;1800;0;null;29,7;67;18;3,1;
1996-01-14;0000;0;null;24,3;78;5;2,8;
1996-01-14;1200;,8;null;24,1;76;14;5;
1996-01-14;1800;0;null;25,6;62;14;4,3;
1996-01-15;0000;0;null;22,4;69;5;3;
1996-01-15;1200;0;null;24,3;73;36;1,6;
1996-01-15;1800;0;null;27,2;69;14;,5;
1996-01-16;0000;0;null;24,3;77;36;,8;
1996-01-16;1200;3,8;null;23,8;81;18;1,3;
1996-01-16;1800;0;null;28,5;68;14;1,3;
1996-01-17;0000;0;null;24,7;81;14;1;
1996-01-17;1200;,2;null;23,2;91;36;1,6;
1996-01-17;1800;11,6;null;25,1;86;18;1;
1996-01-18;0000;0;null;22,1;91;5;1,8;
1996-01-18;1200;5;null;19,7;98;14;2,1;
1996-01-18;1800;4,7;null;21,8;95;9;3,1;
1996-01-19;0000;5,4;null;20,9;91;36;1;
1996-01-19;1200;0;null;23,4;78;14;2;
1996-01-19;1800;0;null;23,6;75;5;3,5;
1996-01-20;0000;0;null;21,4;82;14;5;
1996-01-20;1200;0;null;22,8;86;5;2,1;
1996-01-20;1800;0;null;25,3;77;14;5,5;
1996-01-21;0000;,5;null;22,1;89;14;3,3;
1996-01-21;1200;0;null;23,4;87;5;1,3;
1996-01-21;1800;0;null;27,8;73;14;6;
1996-01-22;0000;4,2;null;22,2;84;14;2,1;
1996-01-22;1200;0;null;23;87;5;1,3;
1996-01-22;1800;0;null;29,7;63;23;,7;
1996-01-23;0000;0;null;25,6;86;14;,5;
1996-01-23;1200;0;null;25,6;75;23;2;
1996-01-23;1800;0;null;30,8;60;9;4;
1996-01-24;0000;0;null;25,3;80;18;2,8;
1996-01-24;1200;0;null;25,2;80;5;2;
1996-01-24;1800;0;null;28,4;71;14;3,5;
1996-01-25;0000;,1;null;24,4;86;5;4,1;
1996-01-25;1200;18,4;null;22,6;86;36;2,5;
1996-01-25;1800;12,1;null;22,2;91;18;,7;
1996-01-26;0000;10;null;21;93;36;2,3;
1996-01-26;1200;0;null;23,8;86;5;,3;
1996-01-26;1800;,2;null;28,5;69;18;1,3;
1996-01-27;0000;8,6;null;21,4;92;23;1,6;
1996-01-27;1200;4,4;null;22,2;92;23;,8;
1996-01-27;1800;5,4;null;21,8;94;18;1,6;
1996-01-28;0000;12,4;null;20,5;96;0;0;
1996-01-28;1200;0;null;22,2;84;32;,7;
1996-01-28;1800;0;null;28,3;71;0;0;
1996-01-29;0000;1;null;22;90;14;,7;
1996-01-29;1200;,3;null;23;92;0;0;
1996-01-29;1800;0;null;30;70;9;1,3;
1996-01-30;0000;1;null;25,2;93;9;,5;
1996-01-30;1200;5,8;null;26,5;74;36;3;
1996-01-30;1800;0;null;31,2;62;27;3,5;
1996-01-31;0000;18,1;null;22,9;92;36;1,6;
1996-01-31;1200;,2;null;23,2;87;32;1,3;
1996-01-31;1800;9,7;null;28,1;76;27;1,5;
1996-02-01;0000;11;null;21,6;96;27;,7;
1996-02-01;1200;,1;null;23,1;89;27;,7;
1996-02-01;1800;7,1;null;22,8;87;14;4,5;
1996-02-02;0000;,9;null;21,8;85;18;1,3;
1996-02-02;1200;0;null;23,2;70;14;2;
1996-02-02;1800;0;null;26,2;58;5;3,1;
1996-02-03;0000;0;null;20,6;81;9;4,1;
1996-02-03;1200;0;null;23,8;70;14;2;
1996-02-03;1800;0;null;29;61;9;3;
1996-02-04;0000;0;null;24;79;36;4,6;
1996-02-04;1200;0;null;25;77;36;1,3;
1996-02-04;1800;0;null;31;60;27;1,6;
1996-02-05;0000;0;null;24,2;81;5;,7;
1996-02-05;1200;1,6;null;25,4;83;36;1,3;
1996-02-05;1800;0;null;31;60;32;2,5;
1996-02-06;0000;0;null;26,5;84;27;,5;
1996-02-06;1200;4,3;null;23,4;84;18;2;
1996-02-06;1800;0;null;27,7;63;5;3,5;
1996-02-07;0000;0;null;23;83;9;1,6;
1996-02-07;1200;0;null;24,2;74;9;,8;
1996-02-07;1800;0;null;32,1;55;14;1,3;
1996-02-08;0000;0;null;25,2;83;5;2,3;
1996-02-08;1200;0;null;27,6;71;32;,5;
1996-02-08;1800;0;null;23,8;83;0;0;
