Data Medicao,dia,mês,ano,Tmáxdia
1/1/1996,1,1,1996,"29,8"
1/2/1996,2,1,1996,"32,8"
1/3/1996,3,1,1996,"32,2"
1/4/1996,4,1,1996,"36,2"
1/5/1996,5,1,1996,"27,2"
1/6/1996,6,1,1996,"26,1"
1/7/1996,7,1,1996,"28,4"
1/8/1996,8,1,1996,"32,5"
1/9/1996,9,1,1996,35
1/10/1996,10,1,1996,"32,8"
1/11/1996,11,1,1996,"36,6"
1/12/1996,12,1,1996,32
1/13/1996,13,1,1996,"30,5"
1/14/1996,14,1,1996,"30,5"
1/15/1996,15,1,1996,"27,7"
1/16/1996,16,1,1996,30
1/17/1996,17,1,1996,"25,5"
1/18/1996,18,1,1996,"25,3"
1/19/1996,19,1,1996,25
1/20/1996,20,1,1996,"25,5"
1/21/1996,21,1,1996,"29,9"
1/22/1996,22,1,1996,"31,5"
1/23/1996,23,1,1996,"31,7"
1/24/1996,24,1,1996,"29,5"
1/25/1996,25,1,1996,"26,2"
1/26/1996,26,1,1996,"30,2"
1/27/1996,27,1,1996,"24,6"
1/28/1996,28,1,1996,"29,1"
1/29/1996,29,1,1996,"30,6"
1/30/1996,30,1,1996,"31,9"
1/31/1996,31,1,1996,"29,9"
2/1/1996,1,2,1996,"26,2"
2/2/1996,2,2,1996,"27,3"
2/3/1996,3,2,1996,"30,5"
2/4/1996,4,2,1996,"32,1"
2/5/1996,5,2,1996,31
2/6/1996,6,2,1996,"28,2"
2/7/1996,7,2,1996,"32,5"
2/8/1996,8,2,1996,"32,5"
2/9/1996,9,2,1996,"29,6"
2/10/1996,10,2,1996,"29,5"
2/11/1996,11,2,1996,"24,8"
2/12/1996,12,2,1996,"24,1"
2/13/1996,13,2,1996,"26,4"
2/14/1996,14,2,1996,"29,2"
2/15/1996,15,2,1996,"27,9"
2/16/1996,16,2,1996,31
2/17/1996,17,2,1996,"27,2"
2/18/1996,18,2,1996,"29,9"
2/19/1996,19,2,1996,"31,6"
2/20/1996,20,2,1996,"34,4"
2/21/1996,21,2,1996,"31,8"
2/22/1996,22,2,1996,33
2/23/1996,23,2,1996,"34,8"
2/24/1996,24,2,1996,"29,8"
2/25/1996,25,2,1996,"31,2"
2/26/1996,26,2,1996,"26,6"
2/27/1996,27,2,1996,"29,2"
2/28/1996,28,2,1996,"32,8"
2/29/1996,29,2,1996,"28,6"
3/1/1996,1,3,1996,"26,2"
3/2/1996,2,3,1996,"27,2"
3/3/1996,3,3,1996,"27,4"
3/4/1996,4,3,1996,28
3/5/1996,5,3,1996,"25,6"
3/6/1996,6,3,1996,31
3/7/1996,7,3,1996,"31,6"
3/8/1996,8,3,1996,"30,2"
3/9/1996,9,3,1996,"28,8"
3/10/1996,10,3,1996,"29,6"
3/11/1996,11,3,1996,31
3/12/1996,12,3,1996,"31,6"
3/13/1996,13,3,1996,"31,9"
3/14/1996,14,3,1996,"29,2"
3/15/1996,15,3,1996,30
3/16/1996,16,3,1996,"28,8"
3/17/1996,17,3,1996,"28,1"
3/18/1996,18,3,1996,"29,3"
3/19/1996,19,3,1996,26
3/20/1996,20,3,1996,"27,4"
3/21/1996,21,3,1996,"29,7"
3/22/1996,22,3,1996,"30,7"
3/23/1996,23,3,1996,"30,3"
3/24/1996,24,3,1996,"24,6"
3/25/1996,25,3,1996,"25,6"
3/26/1996,26,3,1996,"28,5"
3/27/1996,27,3,1996,"31,6"
3/28/1996,28,3,1996,"30,2"
3/29/1996,29,3,1996,"23,5"
3/30/1996,30,3,1996,"27,1"
3/31/1996,31,3,1996,"28,2"
4/1/1996,1,4,1996,"32,4"
4/2/1996,2,4,1996,"35,2"
4/3/1996,3,4,1996,"25,4"
4/4/1996,4,4,1996,"27,4"
4/5/1996,5,4,1996,"30,7"
4/6/1996,6,4,1996,"33,8"
4/7/1996,7,4,1996,"24,2"
4/8/1996,8,4,1996,29
4/9/1996,9,4,1996,"32,8"
4/10/1996,10,4,1996,"24,4"
4/11/1996,11,4,1996,"24,2"
4/12/1996,12,4,1996,31
4/13/1996,13,4,1996,28
4/14/1996,14,4,1996,"32,2"
4/15/1996,15,4,1996,"32,6"
4/16/1996,16,4,1996,"22,7"
4/17/1996,17,4,1996,"19,5"
4/18/1996,18,4,1996,"19,5"
4/19/1996,19,4,1996,22
4/20/1996,20,4,1996,"24,9"
4/21/1996,21,4,1996,27
4/22/1996,22,4,1996,29
4/23/1996,23,4,1996,"27,1"
4/24/1996,24,4,1996,"27,1"
4/25/1996,25,4,1996,"22,5"
4/26/1996,26,4,1996,"23,5"
4/27/1996,27,4,1996,"23,6"
4/28/1996,28,4,1996,"24,8"
4/29/1996,29,4,1996,27
4/30/1996,30,4,1996,"27,3"
5/1/1996,1,5,1996,"27,6"
5/2/1996,2,5,1996,26
5/3/1996,3,5,1996,"26,4"
5/4/1996,4,5,1996,"25,2"
5/5/1996,5,5,1996,"25,8"
5/6/1996,6,5,1996,"26,8"
5/7/1996,7,5,1996,"28,8"
5/8/1996,8,5,1996,"27,5"
5/9/1996,9,5,1996,"25,4"
5/10/1996,10,5,1996,"24,9"
5/11/1996,11,5,1996,"23,6"
5/12/1996,12,5,1996,"26,5"
5/13/1996,13,5,1996,"25,6"
5/14/1996,14,5,1996,25
5/15/1996,15,5,1996,"21,2"
5/16/1996,16,5,1996,"20,8"
5/17/1996,17,5,1996,"25,8"
5/18/1996,18,5,1996,"20,2"
5/19/1996,19,5,1996,"20,8"
5/20/1996,20,5,1996,"20,8"
5/21/1996,21,5,1996,"20,4"
5/22/1996,22,5,1996,"18,7"
5/23/1996,23,5,1996,"18,8"
5/24/1996,24,5,1996,19
5/25/1996,25,5,1996,"23,8"
5/26/1996,26,5,1996,"23,6"
5/27/1996,27,5,1996,"18,8"
5/28/1996,28,5,1996,"19,8"
5/29/1996,29,5,1996,"20,4"
5/30/1996,30,5,1996,"19,4"
5/31/1996,31,5,1996,"13,8"
6/1/1996,1,6,1996,15
6/2/1996,2,6,1996,"15,6"
6/3/1996,3,6,1996,"16,8"
6/4/1996,4,6,1996,"19,4"
6/5/1996,5,6,1996,"21,4"
6/6/1996,6,6,1996,"17,2"
6/7/1996,7,6,1996,"19,6"
6/8/1996,8,6,1996,"16,8"
6/9/1996,9,6,1996,"22,2"
6/10/1996,10,6,1996,"23,6"
6/11/1996,11,6,1996,"25,4"
6/12/1996,12,6,1996,"24,2"
6/13/1996,13,6,1996,"26,7"
6/14/1996,14,6,1996,28
6/15/1996,15,6,1996,29
6/16/1996,16,6,1996,"18,4"
6/17/1996,17,6,1996,18
6/18/1996,18,6,1996,"16,5"
6/19/1996,19,6,1996,"14,4"
6/20/1996,20,6,1996,"11,8"
6/21/1996,21,6,1996,"12,5"
6/22/1996,22,6,1996,"14,4"
6/23/1996,23,6,1996,"15,2"
6/24/1996,24,6,1996,"16,6"
6/25/1996,25,6,1996,"15,8"
6/26/1996,26,6,1996,"11,8"
