data,tmax,tmax_clima,acima,obitos
2004-04-12,32.5,25.75,6.75,8
2004-04-13,33.5,26.04,7.460000000000001,10
2004-04-14,34.2,24.89,9.310000000000002,6
2004-04-15,32.4,25.42,6.979999999999997,7
2004-04-16,32.2,26.88,5.320000000000004,6
2005-05-31,24.1,18.98,5.120000000000001,12
2005-06-01,28.0,18.35,9.649999999999999,9
2005-06-02,29.1,19.02,10.080000000000002,11
2005-06-03,29.3,19.81,9.490000000000002,6
2005-06-04,28.6,20.46,8.14,5
2005-06-05,28.2,20.62,7.579999999999998,5
2005-06-06,28.4,20.12,8.279999999999998,10
2005-06-07,27.4,19.81,7.59,11
2005-06-08,27.6,19.23,8.370000000000001,2
2005-07-29,26.2,19.55,6.649999999999999,9
2005-07-30,31.7,19.27,12.43,8
2005-07-31,31.3,20.46,10.84,7
2005-08-01,30.4,21.06,9.34,9
2005-08-02,30.3,20.04,10.260000000000002,8
2005-08-03,30.1,19.91,10.190000000000001,4
2005-08-04,30.2,20.72,9.48,9
2005-08-05,30.4,21.05,9.349999999999998,12
2007-04-19,31.5,26.3,5.199999999999999,12
2007-04-20,31.5,26.46,5.039999999999999,8
2007-04-21,32.7,25.76,6.940000000000001,4
2007-04-22,32.0,25.69,6.309999999999999,3
2007-04-23,31.4,25.63,5.77,11
2007-09-07,29.7,22.49,7.210000000000001,8
2007-09-08,32.6,23.39,9.21,3
2007-09-09,33.2,24.81,8.390000000000004,12
2007-09-10,32.4,23.8,8.599999999999998,13
2007-09-11,31.3,21.82,9.48,12
2007-09-12,29.8,21.58,8.220000000000002,8
2007-09-13,28.6,22.19,6.41,4
2007-09-14,30.3,21.7,8.600000000000001,9
2008-05-19,29.8,21.73,8.07,9
2008-05-20,30.6,22.2,8.400000000000002,3
2008-05-21,27.6,21.89,5.710000000000001,5
2008-05-22,30.4,20.98,9.419999999999998,9
2008-05-23,29.0,20.8,8.2,7
2008-07-13,27.7,19.78,7.919999999999998,9
2008-07-14,27.0,19.68,7.32,10
2008-07-15,28.0,18.7,9.3,7
2008-07-16,25.4,16.84,8.559999999999999,5
2008-07-17,26.4,17.78,8.619999999999997,4
2009-05-20,27.1,21.73,5.370000000000001,7
2009-05-21,28.3,22.2,6.100000000000001,12
2009-05-22,27.2,21.89,5.309999999999999,7
2009-05-23,27.6,20.98,6.620000000000001,8
2009-05-24,27.7,20.8,6.899999999999999,4
2009-08-26,26.8,20.69,6.109999999999999,6
2009-08-27,27.4,21.7,5.699999999999999,7
2009-08-28,28.6,22.37,6.23,7
