data,tmax_clima,acima,obito,heat_index,wind_chill,tmin,temp,tmax,amplitude_t,urmin,umidade,urmax,prec,pressao,ventodir,ventovel
2001-10-25,26.81,5.989999999999998,9,100.99623926716784,60.02898724679139,16.6,25.17,32.8,16.199999999999996,47.0,58.0,65.0,0.0,1019.27,21.0,6.228
2001-10-26,27.17,5.43,12,104.2842343467884,61.50891234523884,17.8,25.97,32.6,14.8,48.0,64.67,81.0,0.0,1015.47,16.67,11.268
2001-10-27,26.88,8.120000000000001,10,117.64564990000002,69.19258425061568,20.0,27.8,35.0,15.0,45.0,65.0,75.0,0.0,1012.6,9.33,2.52
2001-10-28,26.7,8.900000000000002,6,117.97704225146148,70.8291994248175,21.0,29.2,35.6,14.6,45.0,61.67,73.0,0.0,1011.0,6.33,3.708
2001-10-29,27.22,3.4800000000000004,7,102.61082277794796,70.55144450495925,21.4,25.27,30.7,9.3,77.0,78.0,79.0,0.0,1013.2,21.0,8.748000000000001
2002-02-26,29.91,3.889999999999997,6,108.173299285515,65.36852978437136,18.8,27.07,33.8,14.999999999999996,45.0,61.67,76.0,0.0,1013.43,20.0,5.292
2002-02-27,30.52,5.080000000000002,8,113.33996149403254,72.21911399782337,21.9,29.13,35.6,13.700000000000005,45.0,56.67,69.0,0.0,1012.87,19.67,6.012
2002-02-28,30.64,4.359999999999999,5,106.168057850122,77.03382236132379,24.2,30.33,35.0,10.8,45.0,51.33,55.0,0.0,1011.1,25.67,9.972
2002-03-08,31.52,3.080000000000002,7,117.12351498057608,79.80266987166752,25.0,30.37,34.6,9.6,55.0,67.0,77.0,0.0,1012.93,21.0,2.772
2002-03-09,30.54,6.060000000000002,8,130.5093167467977,76.33074551103974,23.4,30.67,36.6,13.200000000000005,50.0,67.33,84.0,1.2,1015.27,13.67,2.8800000000000003
2002-03-10,30.12,7.879999999999999,8,126.08844187119988,82.81139740820858,26.4,33.0,38.0,11.6,46.0,56.0,69.0,0.0,1014.53,30.0,2.772
2002-03-15,29.38,6.419999999999998,18,122.91175346005316,77.9333808395684,24.0,30.2,35.8,11.799999999999995,48.0,65.33,82.0,0.0,1011.33,21.33,1.908
2002-03-16,29.11,7.090000000000003,9,124.38247366934148,77.65357877413817,24.0,30.53,36.2,12.200000000000005,51.0,64.33,73.0,0.0,1011.13,16.67,2.772
2002-03-17,29.22,5.579999999999998,4,125.10244387011647,75.07797822945254,23.4,28.4,34.8,11.4,65.0,73.67,84.0,0.0,1010.43,21.0,10.44
2002-05-11,23.55,5.25,11,93.79021480796192,65.14508808691446,17.5,23.0,28.8,11.3,62.0,80.67,92.0,0.0,1020.17,4.67,1.1880000000000002
2002-05-12,23.16,6.940000000000001,7,98.98509191179843,62.87487861332533,17.0,24.03,30.1,13.1,56.0,77.33,89.0,0.0,1018.23,4.67,2.4120000000000004
2002-05-13,22.7,9.3,7,109.11745749625432,67.12769852922813,19.0,25.23,32.0,13.0,54.0,76.33,88.0,0.0,1017.97,4.67,2.4120000000000004
2002-05-14,23.24,8.260000000000002,13,100.58886988539824,63.6962129884917,18.0,25.23,31.5,13.5,50.0,67.33,81.0,0.0,1014.33,15.0,4.932
2002-05-15,23.0,6.699999999999999,4,99.78711696647224,70.28726112515633,21.0,22.23,29.7,8.7,75.0,83.33,98.0,14.6,1010.63,4.67,5.508
2002-06-04,21.13,8.870000000000001,10,100.66515071235892,62.464570941053545,17.0,22.93,30.0,13.0,56.0,81.67,96.0,0.0,1013.3,13.67,2.988
2002-06-05,21.11,9.190000000000001,8,95.63581612233828,65.2344930457284,19.0,24.63,30.3,11.3,48.0,68.33,84.0,0.0,1009.0,24.0,7.308
2002-06-06,20.84,3.460000000000001,8,76.14463247176501,60.83449322648119,16.6,19.2,24.3,7.699999999999999,64.0,84.67,97.0,9.7,1013.67,15.33,4.32
2002-06-27,20.04,3.5600000000000023,16,74.59378722873603,39.33108297888512,7.4,14.83,23.6,16.200000000000003,59.0,82.0,98.0,0.1,1021.97,6.33,5.652
2002-06-28,20.66,8.239999999999998,16,90.84459912644805,52.44633097961884,12.6,20.37,28.9,16.299999999999997,53.0,71.0,84.0,0.0,1017.23,6.33,3.6
2002-06-29,20.86,8.04,11,89.88123591929212,62.02431463014475,16.6,23.47,28.9,12.299999999999995,55.0,68.0,77.0,0.0,1013.57,21.0,2.4120000000000004
2002-08-24,23.48,3.919999999999998,7,87.8897778991769,61.74912766598998,16.2,20.23,27.4,11.2,62.0,83.33,95.0,8.6,1016.3,6.0,1.8
2002-08-25,23.35,10.049999999999997,8,116.28066217652876,63.97764624422998,17.7,25.0,33.4,15.7,59.0,74.33,84.0,0.0,1016.1,10.67,2.988
2002-08-26,21.22,10.18,7,102.84260602201616,64.17183912682155,18.1,25.8,31.4,13.299999999999995,53.0,72.0,83.0,0.0,1019.73,7.67,4.32
2002-08-27,22.26,5.739999999999998,6,85.41651661840004,58.03744497062223,16.0,24.53,28.0,12.0,55.0,62.0,70.0,0.0,1019.33,12.33,8.028
2002-08-28,23.37,8.43,9,100.085250371424,58.74929949149907,15.8,24.9,31.8,16.0,38.0,64.0,86.0,0.0,1012.43,4.67,4.932
2002-10-13,26.24,6.66,11,105.54818755153576,64.1459323973092,18.2,27.0,32.9,14.7,50.0,64.33,74.0,0.0,1014.4,12.33,4.932
2002-10-14,25.5,4.199999999999999,4,96.62565493084116,72.3518177305316,21.6,25.8,29.7,8.099999999999998,64.0,76.67,87.0,0.0,1012.37,18.0,3.132
2002-10-15,24.75,8.049999999999997,10,106.67412098064482,72.24088175602444,21.8,27.93,32.8,10.999999999999996,55.0,66.67,79.0,0.0,1012.6,23.0,4.932
2003-02-02,31.47,3.9299999999999997,6,128.2720552178503,74.41882308762813,23.0,28.3,35.4,12.4,55.0,72.67,93.0,37.0,1016.0,12.33,8.028
2003-02-03,31.55,3.650000000000002,10,123.2410783097673,77.51048653538842,24.4,29.2,35.2,10.800000000000004,49.0,69.33,83.0,0.7,1015.57,17.0,9.972
2003-02-04,32.07,5.729999999999997,10,132.5462778803697,78.89001772187709,24.8,31.8,37.8,12.999999999999996,39.0,62.33,75.0,0.0,1012.8,15.0,5.652
2003-02-05,31.86,3.740000000000002,9,120.62228335318126,78.99348348198022,24.9,29.73,35.6,10.700000000000005,53.0,64.33,71.0,1.0,1010.87,27.0,6.732
2003-05-14,23.24,4.16,4,86.68371060577849,58.94354438021748,16.0,20.93,27.4,11.4,52.0,77.67,92.0,0.0,1021.73,9.33,5.508
2003-05-15,23.0,5.600000000000001,6,90.5909045853761,61.72445213323863,17.0,22.73,28.6,11.6,55.0,74.0,88.0,0.0,1019.83,7.67,4.32
2003-05-16,21.14,7.259999999999998,8,90.06647572844827,63.512801600710745,17.3,22.7,28.4,11.099999999999998,57.0,75.0,89.0,0.0,1018.03,13.67,2.4120000000000004
2003-05-17,21.89,6.91,6,90.55381666959484,63.75329484674033,18.0,23.5,28.8,10.8,56.0,71.33,82.0,0.0,1014.27,24.33,4.788
2003-05-18,21.65,3.75,9,79.76579732345384,70.28726112515633,21.0,22.4,25.4,4.399999999999999,61.0,76.67,86.0,0.0,1017.57,19.67,5.508
2003-07-18,18.64,5.759999999999998,10,77.45699696425606,49.000071517567385,8.6,13.8,24.4,15.8,62.0,72.0,87.0,0.0,1023.5,4.67,0.6120000000000001
2003-07-19,19.64,7.559999999999999,5,86.21376933886762,56.84457695782672,14.4,19.93,27.2,12.8,57.0,79.33,91.0,0.0,1018.6,13.67,2.988
2003-07-20,21.22,9.48,15,97.90805408599137,60.323317422360375,16.5,22.8,30.7,14.2,41.0,69.33,87.0,0.0,1013.53,22.67,4.932
2003-07-21,20.5,4.899999999999999,9,79.78777719728272,54.44725963993117,12.2,16.67,25.4,13.2,54.0,78.67,93.0,1.7,1018.1,12.0,1.1880000000000002
2003-07-27,19.75,3.75,6,74.05820172759627,57.44490720434496,15.9,18.4,23.5,7.6,70.0,83.67,92.0,0.0,1028.03,18.0,9.252
2003-07-28,19.73,4.77,8,76.82468130790015,57.20043815857301,14.8,18.67,24.5,9.7,63.0,84.0,97.0,0.0,1024.83,9.0,3.708
2003-07-29,19.91,6.289999999999999,5,82.61886385124106,57.274657599451466,15.0,19.53,26.2,11.2,61.0,81.33,92.0,0.0,1021.4,13.67,4.32
2003-10-16,24.85,4.949999999999999,3,91.23550358068393,55.93971923931532,14.4,22.7,29.8,15.4,42.0,62.33,80.0,0.0,1021.27,12.0,4.32
2003-10-17,24.9,8.100000000000001,9,100.25602873511087,55.49200120217233,14.6,24.77,33.0,18.4,31.0,55.33,79.0,0.0,1015.67,22.67,6.12
2003-10-18,25.41,9.889999999999997,5,104.15546744876042,61.21228772920527,17.0,28.13,35.3,18.3,26.0,46.67,63.0,0.0,1011.47,10.67,5.508
2004-04-12,26.31,6.890000000000004,8,110.60694465558416,68.74038773757246,19.6,26.57,33.2,13.6,48.0,69.0,87.0,0.0,1010.9,10.67,1.908
2004-04-13,26.71,7.390000000000001,10,108.67122946704362,68.60100722228276,20.3,27.97,34.1,13.8,43.0,60.33,71.0,0.0,1013.67,18.33,5.867999999999999
2004-04-14,25.5,9.5,6,117.33229718012215,71.00627069804858,21.0,27.87,35.0,14.0,44.0,64.67,84.0,0.0,1012.57,16.67,3.24
2004-04-15,25.97,7.130000000000003,7,106.5611530867265,69.79600973498239,20.8,28.07,33.1,12.3,47.0,64.33,79.0,0.0,1011.8,10.67,5.652
2004-04-16,27.41,5.389999999999997,6,116.10284482614992,71.98863688512873,21.7,26.4,32.8,11.099999999999998,53.0,78.67,94.0,0.0,1012.83,10.67,5.04
2004-06-19,20.39,6.41,5,84.99418920388683,49.31432880048781,11.5,17.47,26.8,15.3,60.0,81.67,98.0,0.0,1023.57,9.0,4.572
2004-06-20,19.98,7.219999999999999,8,85.90373528206817,57.24914636007756,14.1,20.33,27.2,13.1,55.0,77.67,92.0,0.0,1020.8,15.0,1.908
2004-06-21,20.81,5.690000000000001,7,82.51427153996974,59.693492109308025,16.0,20.63,26.5,10.5,50.0,70.33,83.0,0.0,1017.53,19.67,3.96
2004-08-03,21.19,4.709999999999997,8,81.3750789330495,44.76511078663682,10.0,17.47,25.9,15.9,59.0,78.67,89.0,0.0,1017.33,10.67,6.48
2004-08-04,21.75,9.350000000000001,8,101.67634234713674,58.95898799937875,15.6,22.0,31.1,15.500000000000002,47.0,72.67,89.0,0.0,1017.93,6.33,3.708
2004-08-05,23.12,7.379999999999999,8,93.40491202970632,63.68119041665095,17.0,24.57,30.5,13.5,42.0,61.33,78.0,0.0,1016.53,15.0,1.548
2004-09-04,22.54,3.960000000000001,5,83.17709793257362,56.51460921711879,15.0,20.13,26.5,11.5,63.0,76.33,88.0,0.0,1018.5,13.67,5.867999999999999
2004-09-05,22.72,12.380000000000003,10,120.88144241647493,60.356373216765135,16.3,24.8,35.1,18.8,38.0,67.67,86.0,0.0,1011.3,18.0,3.96
2004-09-06,23.26,13.239999999999998,8,116.54047789080012,66.15431718568647,18.0,28.3,36.5,18.5,28.0,55.0,74.0,0.0,1008.9,22.67,1.1880000000000002
2004-09-07,24.06,12.540000000000003,5,112.17058017778902,71.40439167438322,21.3,29.3,36.6,15.3,31.0,49.67,59.0,0.0,1007.07,10.67,3.96
2004-09-18,23.54,5.260000000000002,6,91.88228368278276,57.10443608728974,13.9,21.27,28.8,14.9,54.0,75.33,90.0,0.0,1015.73,12.33,1.692
2004-09-19,22.89,9.11,10,103.23757200672642,62.81331895555448,17.3,24.93,32.0,14.7,53.0,67.67,81.0,0.0,1012.17,18.0,3.492
2004-09-20,21.98,4.02,7,82.6035896536002,60.34874158394659,16.6,19.93,26.0,9.4,82.0,92.0,98.0,35.2,1015.27,11.0,5.4
2005-01-07,31.75,3.450000000000003,5,120.50601462766978,72.7469376088431,22.2,29.4,35.2,13.000000000000004,47.0,66.67,79.0,0.0,1010.8,15.33,6.84
2005-01-08,31.82,3.780000000000001,4,125.92971801575268,75.22557402683188,23.0,29.77,35.6,12.6,54.0,69.33,84.0,0.0,1010.23,10.67,3.708
2005-01-09,32.51,6.690000000000005,9,143.41522098092832,77.11052076475325,24.0,31.43,39.2,15.200000000000005,35.0,63.0,84.0,0.0,1010.97,19.67,5.4
2005-03-05,29.89,3.509999999999998,5,104.31793118761613,65.14452391483456,19.0,26.87,33.4,14.4,38.0,59.0,78.0,0.0,1018.13,13.67,7.668
2005-03-06,30.48,4.52,2,113.67681616732206,69.00234589505754,20.0,27.73,35.0,15.0,31.0,60.67,79.0,0.0,1015.23,6.33,2.8800000000000003
2005-03-07,31.23,5.669999999999998,3,123.24768675927974,70.31520488064243,21.0,29.17,36.9,15.9,35.0,59.33,74.0,0.0,1011.97,10.67,5.4
2005-03-08,31.52,6.279999999999998,5,119.79840043984554,70.33388440062136,21.3,30.57,37.8,16.499999999999996,31.0,51.33,71.0,0.0,1010.17,26.0,8.64
2005-04-06,28.14,4.759999999999998,4,112.56528611313855,69.85333670614989,20.0,25.23,32.9,12.9,59.0,73.67,82.0,0.0,1016.47,6.0,1.548
2005-04-07,28.43,6.869999999999997,5,128.6850657179453,72.46916529690823,22.2,27.57,35.3,13.099999999999998,49.0,73.67,90.0,0.3,1010.6,25.67,8.532
2005-04-08,28.1,3.5,5,109.05220717112104,68.88074703420038,20.0,24.73,31.6,11.6,61.0,79.67,94.0,20.2,1013.43,13.67,3.132
2005-05-28,21.27,5.129999999999999,9,82.91208758857606,68.04557,11.1,18.1,26.4,15.3,52.0,77.0,96.0,0.0,1020.03,0.0,0.0
2005-05-29,21.27,6.73,6,88.18445425839992,55.45166203065233,13.0,20.2,28.0,15.0,54.0,74.0,91.0,0.0,1017.17,16.67,1.548
2005-05-30,20.6,4.199999999999999,7,77.6985904109411,64.13585898814246,17.0,19.73,24.8,7.800000000000001,84.0,85.33,87.0,0.0,1020.3,16.67,1.1880000000000002
2005-05-31,19.71,5.09,12,77.5296648286081,63.870939901182,16.7,20.1,24.8,8.100000000000001,76.0,88.0,95.0,0.0,1022.13,3.0,0.972
2005-06-01,19.07,9.73,9,94.67086885388797,61.62380832015127,16.0,21.77,28.8,12.8,58.0,83.0,96.0,0.0,1020.37,16.67,1.548
2005-06-02,19.68,9.420000000000002,11,94.1150668844433,64.46794836965452,17.0,23.23,29.1,12.1,53.0,77.67,94.0,0.0,1017.87,16.67,0.972
2005-06-03,20.43,8.969999999999999,6,94.74147392183583,67.27786610770949,18.9,23.8,29.4,10.5,55.0,75.67,89.0,0.0,1017.1,12.0,1.908
2005-06-04,21.13,8.27,5,93.02142174944278,67.53191847330675,19.5,24.6,29.4,9.9,59.0,71.33,79.0,0.0,1017.9,27.0,3.708
2005-06-05,21.11,7.490000000000002,5,91.0141969804742,65.21750133811707,18.5,23.77,28.6,10.1,59.0,75.33,90.0,0.0,1018.93,22.67,3.96
2005-06-06,20.84,8.16,10,95.46192471244052,76.8833,19.0,23.27,29.0,10.0,64.0,82.33,95.0,0.0,1019.47,0.0,0.0
2005-06-07,20.47,7.330000000000002,11,88.71812577341323,64.94511275989275,17.0,22.67,27.8,10.8,56.0,79.33,97.0,0.0,1016.93,13.67,0.7200000000000001
2005-06-08,19.85,7.75,2,86.32105010066859,59.25275616702341,15.0,21.6,27.6,12.6,56.0,72.33,87.0,0.0,1016.93,28.67,1.8
2005-06-09,20.04,3.7600000000000016,4,74.68578751716956,61.84564291107554,16.3,20.43,23.8,7.5,74.0,84.67,93.0,0.0,1019.27,4.67,1.908
2005-06-10,19.59,5.210000000000001,11,77.6985904109411,57.80894448840542,14.5,19.37,24.8,10.3,69.0,85.33,95.0,0.0,1017.03,16.67,2.16
2005-06-11,19.41,8.190000000000001,8,87.86309300415938,67.56723792396727,18.7,22.43,27.6,8.900000000000002,59.0,79.33,90.0,0.1,1014.17,18.0,1.1880000000000002
2005-06-12,19.74,3.16,8,73.45745960690805,66.69369973691693,18.0,20.9,22.9,4.899999999999999,74.0,80.0,91.0,1.3,1014.7,12.0,0.8280000000000001
2005-06-27,20.04,3.7600000000000016,8,74.02263373838178,72.52037000000001,15.1,18.03,23.8,8.700000000000001,76.0,88.67,97.0,0.0,1014.03,0.0,0.0
2005-06-28,20.66,3.1400000000000006,4,74.58108050829982,62.0213450459367,15.5,19.43,23.8,8.3,74.0,85.33,94.0,0.7,1014.6,21.0,0.7200000000000001
2005-06-29,20.86,3.9400000000000013,4,77.79538033218446,64.13585898814246,17.0,20.6,24.8,7.800000000000001,68.0,83.67,96.0,0.0,1016.27,12.0,1.1880000000000002
2005-06-30,20.07,3.7300000000000004,4,73.78697788931208,64.10802482674497,17.8,20.27,23.8,6.0,78.0,90.0,98.0,0.0,1018.37,3.0,3.132
2005-07-01,20.05,7.75,9,89.84856220640627,54.78028371865502,14.0,19.93,27.8,13.8,64.0,83.67,95.0,0.0,1017.67,18.0,4.788
2005-07-02,20.9,8.400000000000002,10,93.8761338014331,69.40720306834504,20.0,24.17,29.3,9.3,56.0,74.67,90.0,0.0,1012.83,33.0,2.16
2005-07-03,21.03,5.469999999999999,7,83.44559074726769,66.66579649490477,18.7,22.97,26.5,7.800000000000001,64.0,78.67,89.0,0.0,1011.17,12.33,2.16
2005-07-13,20.58,5.420000000000002,7,81.61809424499388,52.03780288650785,12.5,18.33,26.0,13.5,55.0,77.33,94.0,0.0,1021.67,16.67,3.852
2005-07-14,20.44,6.559999999999999,6,84.19211805226993,54.52411152348911,13.0,20.57,27.0,14.0,46.0,71.67,87.0,0.0,1019.33,19.67,2.268
2005-07-15,20.21,6.59,7,82.86756148320211,57.45834954921871,14.5,20.87,26.8,12.3,49.0,66.33,81.0,0.0,1014.17,10.67,2.52
2005-07-29,19.91,6.690000000000001,9,83.3944137669505,46.84186265563199,10.0,17.73,26.6,16.6,57.0,75.33,95.0,0.0,1019.7,9.33,3.492
2005-07-30,19.94,12.260000000000002,8,104.68308859708851,57.661372160926526,14.9,22.97,32.2,17.300000000000004,44.0,68.33,88.0,0.0,1015.87,16.67,3.3480000000000003
2005-07-31,21.14,10.46,7,95.77173381556644,65.38558568784325,18.5,25.1,31.6,13.1,34.0,57.33,69.0,0.0,1015.07,1.67,3.6
2005-08-01,21.94,8.86,9,93.260934107903,63.08088020655981,17.0,24.5,30.8,13.8,44.0,58.33,73.0,0.0,1016.13,24.0,2.16
2005-08-02,20.58,9.82,8,93.44164081274296,57.879441265143775,15.0,23.5,30.4,15.4,39.0,62.33,81.0,0.0,1016.43,22.67,3.3480000000000003
2005-08-03,20.91,9.190000000000001,4,91.56444460404728,63.26624935242148,16.0,23.47,30.1,14.1,38.0,60.33,74.0,0.0,1017.2,10.67,0.6120000000000001
2005-08-04,21.19,9.61,9,94.54619948269615,63.54285343844806,15.7,23.07,30.8,15.1,39.0,61.33,75.0,0.0,1017.3,12.0,0.36
