variavel,indice
pressao_r1,0
pressao_r2,1
pressao_r3,2
pressao_r4,3
pressao_r5,4
pressao_r6,5
pressao_r7,6
temp_r1,7
temp_r2,8
temp_r3,9
temp_r4,10
temp_r5,11
temp_r6,12
temp_r7,13
umidade_r1,14
umidade_r2,15
umidade_r3,16
umidade_r4,17
umidade_r5,18
umidade_r6,19
umidade_r7,20
ventodir_r1,21
ventodir_r2,22
ventodir_r3,23
ventodir_r4,24
ventodir_r5,25
ventodir_r6,26
ventodir_r7,27
ventovel_r1,28
ventovel_r2,29
ventovel_r3,30
ventovel_r4,31
ventovel_r5,32
ventovel_r6,33
ventovel_r7,34
prec_r1,35
prec_r2,36
prec_r3,37
prec_r4,38
prec_r5,39
prec_r6,40
prec_r7,41
tmin_r1,42
tmin_r2,43
tmin_r3,44
tmin_r4,45
tmin_r5,46
tmin_r6,47
tmin_r7,48
tmax_r1,49
tmax_r2,50
tmax_r3,51
tmax_r4,52
tmax_r5,53
tmax_r6,54
tmax_r7,55
urmin_r1,56
urmin_r2,57
urmin_r3,58
urmin_r4,59
urmin_r5,60
urmin_r6,61
urmin_r7,62
urmax_r1,63
urmax_r2,64
urmax_r3,65
urmax_r4,66
urmax_r5,67
urmax_r6,68
urmax_r7,69
amplitude_t_r1,70
amplitude_t_r2,71
amplitude_t_r3,72
amplitude_t_r4,73
amplitude_t_r5,74
amplitude_t_r6,75
amplitude_t_r7,76
wind_chill_r1,77
wind_chill_r2,78
wind_chill_r3,79
wind_chill_r4,80
wind_chill_r5,81
wind_chill_r6,82
wind_chill_r7,83
heat_index_r1,84
heat_index_r2,85
heat_index_r3,86
heat_index_r4,87
heat_index_r5,88
heat_index_r6,89
heat_index_r7,90
indice_amplitude_up_r1,91
indice_amplitude_up_r2,92
indice_amplitude_up_r3,93
indice_amplitude_up_r4,94
indice_amplitude_up_r5,95
indice_amplitude_up_r6,96
indice_amplitude_up_r7,97
indice_amplitude_down_r1,98
indice_amplitude_down_r2,99
indice_amplitude_down_r3,100
indice_amplitude_down_r4,101
indice_amplitude_down_r5,102
indice_amplitude_down_r6,103
indice_amplitude_down_r7,104
pressao_aest_r1,105
pressao_aest_r2,106
pressao_aest_r3,107
pressao_aest_r4,108
pressao_aest_r5,109
pressao_aest_r6,110
pressao_aest_r7,111
temp_aest_r1,112
temp_aest_r2,113
temp_aest_r3,114
temp_aest_r4,115
temp_aest_r5,116
temp_aest_r6,117
temp_aest_r7,118
umidade_aest_r1,119
umidade_aest_r2,120
umidade_aest_r3,121
umidade_aest_r4,122
umidade_aest_r5,123
umidade_aest_r6,124
umidade_aest_r7,125
ventodir_aest_r1,126
ventodir_aest_r2,127
ventodir_aest_r3,128
ventodir_aest_r4,129
ventodir_aest_r5,130
ventodir_aest_r6,131
ventodir_aest_r7,132
ventovel_aest_r1,133
ventovel_aest_r2,134
ventovel_aest_r3,135
ventovel_aest_r4,136
ventovel_aest_r5,137
ventovel_aest_r6,138
ventovel_aest_r7,139
prec_aest_r1,140
prec_aest_r2,141
prec_aest_r3,142
prec_aest_r4,143
prec_aest_r5,144
prec_aest_r6,145
prec_aest_r7,146
tmin_aest_r1,147
tmin_aest_r2,148
tmin_aest_r3,149
tmin_aest_r4,150
tmin_aest_r5,151
tmin_aest_r6,152
tmin_aest_r7,153
tmax_aest_r1,154
tmax_aest_r2,155
tmax_aest_r3,156
tmax_aest_r4,157
tmax_aest_r5,158
tmax_aest_r6,159
tmax_aest_r7,160
urmin_aest_r1,161
urmin_aest_r2,162
urmin_aest_r3,163
urmin_aest_r4,164
urmin_aest_r5,165
urmin_aest_r6,166
urmin_aest_r7,167
urmax_aest_r1,168
urmax_aest_r2,169
urmax_aest_r3,170
urmax_aest_r4,171
urmax_aest_r5,172
urmax_aest_r6,173
urmax_aest_r7,174
amplitude_t_aest_r1,175
amplitude_t_aest_r2,176
amplitude_t_aest_r3,177
amplitude_t_aest_r4,178
amplitude_t_aest_r5,179
amplitude_t_aest_r6,180
amplitude_t_aest_r7,181
wind_chill_aest_r1,182
wind_chill_aest_r2,183
wind_chill_aest_r3,184
wind_chill_aest_r4,185
wind_chill_aest_r5,186
wind_chill_aest_r6,187
wind_chill_aest_r7,188
heat_index_aest_r1,189
heat_index_aest_r2,190
heat_index_aest_r3,191
heat_index_aest_r4,192
heat_index_aest_r5,193
heat_index_aest_r6,194
heat_index_aest_r7,195
indice_amplitude_up_aest_r1,196
indice_amplitude_up_aest_r2,197
indice_amplitude_up_aest_r3,198
indice_amplitude_up_aest_r4,199
indice_amplitude_up_aest_r5,200
indice_amplitude_up_aest_r6,201
indice_amplitude_up_aest_r7,202
indice_amplitude_down_aest_r1,203
indice_amplitude_down_aest_r2,204
indice_amplitude_down_aest_r3,205
indice_amplitude_down_aest_r4,206
indice_amplitude_down_aest_r5,207
indice_amplitude_down_aest_r6,208
indice_amplitude_down_aest_r7,209
