indice,variavel
0,pressao_r1
1,pressao_r2
2,pressao_r3
3,pressao_r4
4,pressao_r5
5,pressao_r6
6,pressao_r7
7,temp_r1
8,temp_r2
9,temp_r3
10,temp_r4
11,temp_r5
12,temp_r6
13,temp_r7
14,umidade_r1
15,umidade_r2
16,umidade_r3
17,umidade_r4
18,umidade_r5
19,umidade_r6
20,umidade_r7
21,ventodir_r1
22,ventodir_r2
23,ventodir_r3
24,ventodir_r4
25,ventodir_r5
26,ventodir_r6
27,ventodir_r7
28,ventovel_r1
29,ventovel_r2
30,ventovel_r3
31,ventovel_r4
32,ventovel_r5
33,ventovel_r6
34,ventovel_r7
35,prec_r1
36,prec_r2
37,prec_r3
38,prec_r4
39,prec_r5
40,prec_r6
41,prec_r7
42,tmin_r1
43,tmin_r2
44,tmin_r3
45,tmin_r4
46,tmin_r5
47,tmin_r6
48,tmin_r7
49,tmax_r1
50,tmax_r2
51,tmax_r3
52,tmax_r4
53,tmax_r5
54,tmax_r6
55,tmax_r7
56,urmin_r1
57,urmin_r2
58,urmin_r3
59,urmin_r4
60,urmin_r5
61,urmin_r6
62,urmin_r7
63,urmax_r1
64,urmax_r2
65,urmax_r3
66,urmax_r4
67,urmax_r5
68,urmax_r6
69,urmax_r7
70,amplitude_t_r1
71,amplitude_t_r2
72,amplitude_t_r3
73,amplitude_t_r4
74,amplitude_t_r5
75,amplitude_t_r6
76,amplitude_t_r7
77,wind_chill_r1
78,wind_chill_r2
79,wind_chill_r3
80,wind_chill_r4
81,wind_chill_r5
82,wind_chill_r6
83,wind_chill_r7
84,heat_index_r1
85,heat_index_r2
86,heat_index_r3
87,heat_index_r4
88,heat_index_r5
89,heat_index_r6
90,heat_index_r7
91,indice_amplitude_up_r1
92,indice_amplitude_up_r2
93,indice_amplitude_up_r3
94,indice_amplitude_up_r4
95,indice_amplitude_up_r5
96,indice_amplitude_up_r6
97,indice_amplitude_up_r7
98,indice_amplitude_down_r1
99,indice_amplitude_down_r2
100,indice_amplitude_down_r3
101,indice_amplitude_down_r4
102,indice_amplitude_down_r5
103,indice_amplitude_down_r6
104,indice_amplitude_down_r7
105,pressao_aest_r1
106,pressao_aest_r2
107,pressao_aest_r3
108,pressao_aest_r4
109,pressao_aest_r5
110,pressao_aest_r6
111,pressao_aest_r7
112,temp_aest_r1
113,temp_aest_r2
114,temp_aest_r3
115,temp_aest_r4
116,temp_aest_r5
117,temp_aest_r6
118,temp_aest_r7
119,umidade_aest_r1
120,umidade_aest_r2
121,umidade_aest_r3
122,umidade_aest_r4
123,umidade_aest_r5
124,umidade_aest_r6
125,umidade_aest_r7
126,ventodir_aest_r1
127,ventodir_aest_r2
128,ventodir_aest_r3
129,ventodir_aest_r4
130,ventodir_aest_r5
131,ventodir_aest_r6
132,ventodir_aest_r7
133,ventovel_aest_r1
134,ventovel_aest_r2
135,ventovel_aest_r3
136,ventovel_aest_r4
137,ventovel_aest_r5
138,ventovel_aest_r6
139,ventovel_aest_r7
140,prec_aest_r1
141,prec_aest_r2
142,prec_aest_r3
143,prec_aest_r4
144,prec_aest_r5
145,prec_aest_r6
146,prec_aest_r7
147,tmin_aest_r1
148,tmin_aest_r2
149,tmin_aest_r3
150,tmin_aest_r4
151,tmin_aest_r5
152,tmin_aest_r6
153,tmin_aest_r7
154,tmax_aest_r1
155,tmax_aest_r2
156,tmax_aest_r3
157,tmax_aest_r4
158,tmax_aest_r5
159,tmax_aest_r6
160,tmax_aest_r7
161,urmin_aest_r1
162,urmin_aest_r2
163,urmin_aest_r3
164,urmin_aest_r4
165,urmin_aest_r5
166,urmin_aest_r6
167,urmin_aest_r7
168,urmax_aest_r1
169,urmax_aest_r2
170,urmax_aest_r3
171,urmax_aest_r4
172,urmax_aest_r5
173,urmax_aest_r6
174,urmax_aest_r7
175,amplitude_t_aest_r1
176,amplitude_t_aest_r2
177,amplitude_t_aest_r3
178,amplitude_t_aest_r4
179,amplitude_t_aest_r5
180,amplitude_t_aest_r6
181,amplitude_t_aest_r7
182,wind_chill_aest_r1
183,wind_chill_aest_r2
184,wind_chill_aest_r3
185,wind_chill_aest_r4
186,wind_chill_aest_r5
187,wind_chill_aest_r6
188,wind_chill_aest_r7
189,heat_index_aest_r1
190,heat_index_aest_r2
191,heat_index_aest_r3
192,heat_index_aest_r4
193,heat_index_aest_r5
194,heat_index_aest_r6
195,heat_index_aest_r7
196,indice_amplitude_up_aest_r1
197,indice_amplitude_up_aest_r2
198,indice_amplitude_up_aest_r3
199,indice_amplitude_up_aest_r4
200,indice_amplitude_up_aest_r5
201,indice_amplitude_up_aest_r6
202,indice_amplitude_up_aest_r7
203,indice_amplitude_down_aest_r1
204,indice_amplitude_down_aest_r2
205,indice_amplitude_down_aest_r3
206,indice_amplitude_down_aest_r4
207,indice_amplitude_down_aest_r5
208,indice_amplitude_down_aest_r6
209,indice_amplitude_down_aest_r7
