indice,variavel
0,obito_r1
1,obito_r2
2,obito_r3
3,obito_r4
4,obito_r5
5,obito_r6
6,obito_r7
7,heat_index_r1
8,heat_index_r2
9,heat_index_r3
10,heat_index_r4
11,heat_index_r5
12,heat_index_r6
13,heat_index_r7
14,wind_chill_r1
15,wind_chill_r2
16,wind_chill_r3
17,wind_chill_r4
18,wind_chill_r5
19,wind_chill_r6
20,wind_chill_r7
21,tmin_3h_r1
22,tmin_3h_r2
23,tmin_3h_r3
24,tmin_3h_r4
25,tmin_3h_r5
26,tmin_3h_r6
27,tmin_3h_r7
28,tmin_r1
29,tmin_r2
30,tmin_r3
31,tmin_r4
32,tmin_r5
33,tmin_r6
34,tmin_r7
35,temp_r1
36,temp_r2
37,temp_r3
38,temp_r4
39,temp_r5
40,temp_r6
41,temp_r7
42,tmax_3h_r1
43,tmax_3h_r2
44,tmax_3h_r3
45,tmax_3h_r4
46,tmax_3h_r5
47,tmax_3h_r6
48,tmax_3h_r7
49,tmax_r1
50,tmax_r2
51,tmax_r3
52,tmax_r4
53,tmax_r5
54,tmax_r6
55,tmax_r7
56,amplitude_t_3h_r1
57,amplitude_t_3h_r2
58,amplitude_t_3h_r3
59,amplitude_t_3h_r4
60,amplitude_t_3h_r5
61,amplitude_t_3h_r6
62,amplitude_t_3h_r7
63,amplitude_t_r1
64,amplitude_t_r2
65,amplitude_t_r3
66,amplitude_t_r4
67,amplitude_t_r5
68,amplitude_t_r6
69,amplitude_t_r7
70,urmin_r1
71,urmin_r2
72,urmin_r3
73,urmin_r4
74,urmin_r5
75,urmin_r6
76,urmin_r7
77,umidade_r1
78,umidade_r2
79,umidade_r3
80,umidade_r4
81,umidade_r5
82,umidade_r6
83,umidade_r7
84,urmax_r1
85,urmax_r2
86,urmax_r3
87,urmax_r4
88,urmax_r5
89,urmax_r6
90,urmax_r7
91,prec_r1
92,prec_r2
93,prec_r3
94,prec_r4
95,prec_r5
96,prec_r6
97,prec_r7
98,pressao_r1
99,pressao_r2
100,pressao_r3
101,pressao_r4
102,pressao_r5
103,pressao_r6
104,pressao_r7
105,ventodir_r1
106,ventodir_r2
107,ventodir_r3
108,ventodir_r4
109,ventodir_r5
110,ventodir_r6
111,ventodir_r7
112,ventovel_r1
113,ventovel_r2
114,ventovel_r3
115,ventovel_r4
116,ventovel_r5
117,ventovel_r6
118,ventovel_r7
119,indice_amplitude_up_r1
120,indice_amplitude_up_r2
121,indice_amplitude_up_r3
122,indice_amplitude_up_r4
123,indice_amplitude_up_r5
124,indice_amplitude_up_r6
125,indice_amplitude_up_r7
126,indice_amplitude_down_r1
127,indice_amplitude_down_r2
128,indice_amplitude_down_r3
129,indice_amplitude_down_r4
130,indice_amplitude_down_r5
131,indice_amplitude_down_r6
132,indice_amplitude_down_r7
133,obito_anomal_r1
134,obito_anomal_r2
135,obito_anomal_r3
136,obito_anomal_r4
137,obito_anomal_r5
138,obito_anomal_r6
139,obito_anomal_r7
140,heat_index_anomal_r1
141,heat_index_anomal_r2
142,heat_index_anomal_r3
143,heat_index_anomal_r4
144,heat_index_anomal_r5
145,heat_index_anomal_r6
146,heat_index_anomal_r7
147,wind_chill_anomal_r1
148,wind_chill_anomal_r2
149,wind_chill_anomal_r3
150,wind_chill_anomal_r4
151,wind_chill_anomal_r5
152,wind_chill_anomal_r6
153,wind_chill_anomal_r7
154,tmin_3h_anomal_r1
155,tmin_3h_anomal_r2
156,tmin_3h_anomal_r3
157,tmin_3h_anomal_r4
158,tmin_3h_anomal_r5
159,tmin_3h_anomal_r6
160,tmin_3h_anomal_r7
161,tmin_anomal_r1
162,tmin_anomal_r2
163,tmin_anomal_r3
164,tmin_anomal_r4
165,tmin_anomal_r5
166,tmin_anomal_r6
167,tmin_anomal_r7
168,temp_anomal_r1
169,temp_anomal_r2
170,temp_anomal_r3
171,temp_anomal_r4
172,temp_anomal_r5
173,temp_anomal_r6
174,temp_anomal_r7
175,tmax_3h_anomal_r1
176,tmax_3h_anomal_r2
177,tmax_3h_anomal_r3
178,tmax_3h_anomal_r4
179,tmax_3h_anomal_r5
180,tmax_3h_anomal_r6
181,tmax_3h_anomal_r7
182,tmax_anomal_r1
183,tmax_anomal_r2
184,tmax_anomal_r3
185,tmax_anomal_r4
