dia,obito
1,7.0
2,7.25
3,8.25
4,9.0
5,8.0
6,8.0
7,10.0
8,8.0
9,7.0
10,7.0
11,6.0
12,8.0
13,8.0
14,7.0
15,8.25
16,11.0
17,7.0
18,8.0
19,9.0
20,7.0
21,8.0
22,6.0
23,9.0
24,9.0
25,11.0
26,8.0
27,8.25
28,8.0
29,7.0
30,8.0
31,7.5
32,8.25
33,7.0
34,7.0
35,7.25
36,8.0
37,9.0
38,8.0
39,8.75
40,8.0
41,8.0
42,9.0
43,8.0
44,7.0
45,7.0
46,6.0
47,10.0
48,6.0
49,8.0
50,8.0
51,9.0
52,7.0
53,7.0
54,7.0
55,8.0
56,7.0
57,8.0
58,8.0
59,7.0
60,9.0
61,8.0
62,8.0
63,8.0
64,7.0
65,8.0
66,7.0
67,7.0
68,8.0
69,8.0
70,8.0
71,8.0
72,8.0
73,7.0
74,9.0
75,8.5
76,7.25
77,7.0
78,10.0
79,7.0
80,9.25
81,7.25
82,8.0
83,8.0
84,7.0
85,7.0
86,8.0
87,8.0
88,8.0
89,8.0
90,7.0
91,6.0
92,7.25
93,8.0
94,8.0
95,8.25
96,7.0
97,8.0
98,8.0
99,8.0
100,8.0
101,9.0
102,9.0
103,8.0
104,7.0
105,8.0
106,9.0
107,8.0
108,7.0
109,9.0
110,9.0
111,7.0
112,9.0
113,7.0
114,8.0
115,7.0
116,8.0
117,7.0
118,8.0
119,9.0
120,8.0
121,9.0
122,8.0
123,8.0
124,7.25
125,8.0
126,8.0
127,8.25
128,8.25
129,9.0
130,11.0
131,8.0
132,9.0
133,9.0
134,9.0
135,11.0
136,11.0
137,9.0
138,9.0
139,8.0
140,11.0
141,9.0
142,9.0
143,10.0
144,8.0
145,8.0
146,8.0
147,9.0
148,10.0
149,9.0
150,9.0
151,10.0
152,9.0
153,10.0
154,8.0
155,9.25
156,9.0
157,10.25
158,11.0
159,11.0
160,9.25
161,9.25
162,10.25
163,10.0
164,11.0
165,10.0
166,9.0
167,10.25
168,11.25
169,10.25
170,11.0
171,12.25
172,11.0
173,11.0
174,10.0
175,9.25
176,11.0
177,10.25
178,11.0
179,11.0
180,11.0
181,10.5
182,10.0
183,12.0
184,11.0
185,11.0
186,10.25
187,12.0
188,12.5
189,11.0
190,9.0
191,11.0
192,10.0
193,11.0
194,11.25
195,13.0
196,10.0
197,12.0
198,11.0
199,10.0
200,10.0
201,9.0
202,11.0
203,10.25
204,11.5
205,12.0
206,10.0
207,11.5
208,12.0
209,11.0
210,10.0
211,11.25
212,12.0
213,11.0
214,10.0
215,9.0
216,11.0
217,11.0
218,11.25
219,12.0
220,11.5
221,11.0
222,10.5
223,10.0
224,10.25
225,11.0
226,10.0
227,9.25
228,10.0
229,10.0
230,9.0
231,10.5
232,10.0
233,9.0
234,11.0
235,11.0
236,9.0
237,10.0
238,10.0
239,10.0
240,10.0
241,11.0
242,9.0
243,10.0
244,9.0
245,8.0
246,9.0
247,10.0
248,9.5
249,9.0
250,8.25
251,9.0
252,11.5
253,9.25
254,8.0
255,9.0
256,9.0
257,9.5
258,8.25
259,9.25
260,9.0
261,9.0
262,10.0
263,9.0
264,10.0
265,9.25
266,8.5
267,10.0
268,8.25
269,11.0
270,10.0
271,8.0
272,9.0
273,10.0
274,7.0
275,11.0
276,9.0
277,10.0
278,9.75
279,8.75
280,9.0
281,9.0
282,8.0
283,8.0
284,9.0
285,9.0
286,8.0
287,9.0
288,10.0
289,8.0
290,9.0
291,7.0
292,9.5
293,9.0
294,8.0
295,8.0
296,9.0
297,9.0
298,9.0
299,8.0
300,8.0
301,7.0
302,9.0
303,8.0
304,8.0
305,9.0
306,8.0
307,8.0
308,8.0
309,8.0
310,8.0
311,8.0
312,10.0
313,9.0
314,7.0
315,8.0
316,9.0
317,8.0
318,8.0
319,7.0
320,7.75
321,8.75
322,7.75
323,7.0
324,9.0
325,8.0
326,7.0
327,8.0
328,8.0
329,8.0
330,7.0
331,8.0
332,8.75
333,9.0
334,8.0
335,8.0
336,6.75
337,7.75
338,8.75
339,9.0
340,8.0
341,6.0
342,8.0
343,7.75
344,7.75
345,7.75
346,6.0
347,8.0
348,7.0
349,8.75
350,7.0
351,7.75
352,7.0
353,7.0
354,9.0
355,8.0
356,8.0
357,8.0
358,8.0
359,7.0
360,8.75
361,8.0
362,7.0
363,8.0
364,8.0
365,7.0
366,9.0
