indice,variavel
Feature 0,heat_index_r1
Feature 1,heat_index_r2
Feature 2,heat_index_r3
Feature 3,heat_index_r4
Feature 4,heat_index_r5
Feature 5,heat_index_r6
Feature 6,heat_index_r7
Feature 7,wind_chill_r1
Feature 8,wind_chill_r2
Feature 9,wind_chill_r3
Feature 10,wind_chill_r4
Feature 11,wind_chill_r5
Feature 12,wind_chill_r6
Feature 13,wind_chill_r7
Feature 14,tmin_r1
Feature 15,tmin_r2
Feature 16,tmin_r3
Feature 17,tmin_r4
Feature 18,tmin_r5
Feature 19,tmin_r6
Feature 20,tmin_r7
Feature 21,temp_r1
Feature 22,temp_r2
Feature 23,temp_r3
Feature 24,temp_r4
Feature 25,temp_r5
Feature 26,temp_r6
Feature 27,temp_r7
Feature 28,tmax_r1
Feature 29,tmax_r2
Feature 30,tmax_r3
Feature 31,tmax_r4
Feature 32,tmax_r5
Feature 33,tmax_r6
Feature 34,tmax_r7
Feature 35,amplitude_t_r1
Feature 36,amplitude_t_r2
Feature 37,amplitude_t_r3
Feature 38,amplitude_t_r4
Feature 39,amplitude_t_r5
Feature 40,amplitude_t_r6
Feature 41,amplitude_t_r7
Feature 42,urmin_r1
Feature 43,urmin_r2
Feature 44,urmin_r3
Feature 45,urmin_r4
Feature 46,urmin_r5
Feature 47,urmin_r6
Feature 48,urmin_r7
Feature 49,umidade_r1
Feature 50,umidade_r2
Feature 51,umidade_r3
Feature 52,umidade_r4
Feature 53,umidade_r5
Feature 54,umidade_r6
Feature 55,umidade_r7
Feature 56,urmax_r1
Feature 57,urmax_r2
Feature 58,urmax_r3
Feature 59,urmax_r4
Feature 60,urmax_r5
Feature 61,urmax_r6
Feature 62,urmax_r7
Feature 63,prec_r1
Feature 64,prec_r2
Feature 65,prec_r3
Feature 66,prec_r4
Feature 67,prec_r5
Feature 68,prec_r6
Feature 69,prec_r7
Feature 70,pressao_r1
Feature 71,pressao_r2
Feature 72,pressao_r3
Feature 73,pressao_r4
Feature 74,pressao_r5
Feature 75,pressao_r6
Feature 76,pressao_r7
Feature 77,ventodir_r1
Feature 78,ventodir_r2
Feature 79,ventodir_r3
Feature 80,ventodir_r4
Feature 81,ventodir_r5
Feature 82,ventodir_r6
Feature 83,ventodir_r7
Feature 84,ventovel_r1
Feature 85,ventovel_r2
Feature 86,ventovel_r3
Feature 87,ventovel_r4
Feature 88,ventovel_r5
Feature 89,ventovel_r6
Feature 90,ventovel_r7
