pressao,temp,umidade,ventodir,ventovel,prec,tmin,tmax,urmin,urmax,amplitude_t
1013.87,19.3,82.33,32.0,3.47,0.5,17.6,21.5,77.0,90.0,3.8999999999999986
1018.33,19.4,81.67,17.0,1.93,6.5,18.0,22.0,71.0,91.0,4.0
1020.4,20.27,80.67,10.67,0.87,0.0,17.4,24.0,64.0,95.0,6.600000000000001
1013.5,21.9,71.67,15.0,2.27,2.8,19.3,27.0,46.0,89.0,7.699999999999999
1015.43,22.8,63.67,17.0,2.97,0.0,20.9,26.3,52.0,70.0,5.400000000000002
1018.73,22.83,70.67,19.67,1.57,0.0,19.8,26.7,61.0,80.0,6.899999999999999
1022.23,21.83,79.67,11.0,2.43,0.0,20.2,24.1,71.0,88.0,3.900000000000002
1021.57,21.6,84.0,16.67,2.6,0.0,19.6,23.2,79.0,89.0,3.599999999999998
1019.1,22.83,80.67,15.33,2.93,0.0,20.4,25.8,70.0,87.0,5.400000000000002
1017.33,22.8,80.67,12.33,4.17,0.0,21.0,25.4,70.0,87.0,4.399999999999999
1017.9,20.53,88.0,13.67,3.3,16.2,19.4,21.6,85.0,93.0,2.200000000000003
1014.3,20.87,87.67,12.33,2.27,0.4,19.6,22.2,85.0,92.0,2.599999999999998
1012.4,22.87,78.0,12.33,2.27,2.0,19.4,26.3,67.0,91.0,6.900000000000002
1009.8,23.67,79.67,3.0,1.03,0.0,19.8,28.7,65.0,91.0,8.899999999999999
1007.43,26.27,65.67,5.67,2.93,0.0,23.6,31.2,51.0,85.0,7.599999999999998
1011.57,19.63,67.0,25.67,4.67,5.0,16.5,22.2,47.0,90.0,5.699999999999999
1016.03,19.4,54.33,29.0,2.43,0.0,16.4,23.6,47.0,59.0,7.200000000000003
1020.27,22.0,58.0,9.0,1.2,0.0,17.6,27.0,42.0,72.0,9.399999999999999
1019.27,25.17,58.0,21.0,1.73,0.0,19.4,32.1,47.0,65.0,12.700000000000003
1015.47,25.97,64.67,16.67,3.13,0.0,21.0,32.3,48.0,81.0,11.299999999999997
1012.6,27.8,65.0,9.33,0.7,0.0,23.4,34.8,45.0,75.0,11.399999999999999
1011.0,29.2,61.67,6.33,1.03,0.0,26.0,35.0,45.0,73.0,9.0
1013.2,25.27,78.0,21.0,2.43,0.0,24.4,25.8,77.0,79.0,1.4000000000000021
1013.43,24.03,81.0,19.67,2.93,0.4,22.4,27.1,67.0,89.0,4.700000000000003
1015.3,24.17,65.33,22.67,2.93,0.0,22.5,27.0,50.0,85.0,4.5
1018.37,19.63,74.33,12.0,2.6,2.0,16.6,23.3,58.0,92.0,6.699999999999999
1017.5,20.43,70.67,16.67,2.93,0.8,18.2,22.5,64.0,75.0,4.300000000000001
1012.6,23.9,71.33,12.0,1.07,0.0,18.7,30.6,55.0,83.0,11.900000000000002
1012.4,28.2,60.0,15.33,1.4,0.0,23.4,34.6,43.0,73.0,11.200000000000003
1013.2,24.57,76.67,18.33,2.27,3.5,21.3,26.8,61.0,93.0,5.5
1017.63,21.53,86.67,12.33,1.73,10.9,19.8,23.2,77.0,95.0,3.3999999999999986
